team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att
Ath Paranaense,35,38.0,43,467,171,36.6,12.29,4.50,0.08,0.23,,4,8
Atl Goianiense,33,38.0,38,471,142,30.1,12.39,3.74,0.07,0.23,,5,7
Atlético Mineiro,39,38.0,52,498,170,34.1,13.11,4.47,0.09,0.28,,5,9
Avaí,29,38.0,29,407,110,27.0,10.71,2.89,0.06,0.22,,5,5
Bahia,33,38.0,49,502,179,35.7,13.21,4.71,0.08,0.23,,7,8
Botafogo (RJ),37,38.0,45,441,147,33.3,11.61,3.87,0.10,0.29,,2,3
Chapecoense,38,38.0,47,502,173,34.5,13.21,4.55,0.08,0.24,,5,5
Corinthians,32,38.0,50,472,170,36.0,12.42,4.47,0.10,0.27,,4,5
Coritiba,35,38.0,41,429,168,39.2,11.29,4.42,0.08,0.21,,6,10
Cruzeiro,35,38.0,46,550,185,33.6,14.47,4.87,0.08,0.23,,3,5
Flamengo,33,38.0,49,574,183,31.9,15.11,4.82,0.08,0.25,,4,6
Fluminense,38,38.0,47,470,171,36.4,12.37,4.50,0.08,0.22,,9,9
Grêmio,49,38.0,55,456,188,41.2,12.00,4.95,0.11,0.27,,4,7
Palmeiras,32,38.0,59,525,172,32.8,13.82,4.53,0.10,0.32,,4,7
Ponte Preta,39,38.0,36,439,143,32.6,11.55,3.76,0.06,0.20,,8,10
Santos,41,38.0,41,437,151,34.6,11.50,3.97,0.09,0.27,,0,1
São Paulo,41,38.0,46,483,159,32.9,12.71,4.18,0.09,0.27,,3,5
Sport Recife,35,38.0,45,493,172,34.9,12.97,4.53,0.08,0.23,,6,6
Vasco da Gama,39,38.0,36,506,151,29.8,13.32,3.97,0.07,0.24,,0,1
Vitória,37,38.0,50,494,160,32.4,13.00,4.21,0.09,0.28,,5,8
