team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ath Paranaense,2,38,38,"3,420",38.0,43,1.13,151,112,74.2,14,9,15,11,28.9,5,4,0,1,0.0
Atl Goianiense,3,38,38,"3,420",38.0,56,1.47,187,135,71.1,9,9,20,5,13.2,4,2,2,0,50.0
Atlético Mineiro,3,38,38,"3,420",38.0,49,1.29,138,98,68.1,14,12,12,9,23.7,11,5,4,2,44.4
Avaí,2,38,38,"3,420",38.0,48,1.26,180,141,77.8,10,13,15,12,31.6,11,8,1,2,11.1
Bahia,1,38,38,"3,420",38.0,48,1.26,171,128,74.3,13,11,14,10,26.3,5,4,1,0,20.0
Botafogo (RJ),3,38,38,"3,420",38.0,42,1.11,131,97,70.2,14,11,13,12,31.6,8,3,5,0,62.5
Chapecoense,1,38,38,"3,420",38.0,49,1.29,140,94,66.4,15,9,14,11,28.9,4,2,1,1,33.3
Corinthians,3,38,38,"3,420",38.0,30,0.79,133,106,78.2,21,9,8,18,47.4,4,1,3,0,75.0
Coritiba,1,38,38,"3,420",38.0,51,1.34,173,127,72.3,11,10,17,10,26.3,6,3,2,1,40.0
Cruzeiro,2,38,38,"3,420",38.0,39,1.03,131,100,76.3,15,12,11,12,31.6,8,8,0,0,0.0
Flamengo,4,38,38,"3,420",38.0,38,1.00,118,85,71.2,15,11,12,13,34.2,5,4,1,0,20.0
Fluminense,2,38,38,"3,420",38.0,53,1.39,175,122,69.7,11,14,13,5,13.2,1,0,0,1,
Grêmio,4,38,38,"3,417",38.0,37,0.97,138,104,74.6,18,8,12,16,42.1,3,2,1,0,33.3
Palmeiras,2,38,38,"3,420",38.0,45,1.18,140,104,72.9,19,6,13,11,28.9,9,7,2,0,22.2
Ponte Preta,2,38,38,"3,420",38.0,52,1.37,174,126,72.4,10,9,19,12,31.6,5,4,0,1,0.0
Santos,2,38,38,"3,420",38.0,32,0.84,161,136,82.6,17,12,9,18,47.4,10,4,3,3,42.9
São Paulo,2,38,38,"3,420",38.0,49,1.29,156,116,74.4,13,11,14,9,23.7,11,9,0,2,0.0
Sport Recife,2,38,38,"3,420",38.0,58,1.53,159,106,66.7,12,9,17,10,26.3,5,5,0,0,0.0
Vasco da Gama,3,38,38,"3,420",38.0,47,1.24,136,97,71.3,15,11,12,10,26.3,8,8,0,0,0.0
Vitória,2,38,38,"3,420",38.0,58,1.53,179,128,70.9,11,10,17,7,18.4,7,6,1,0,14.3
