team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Ath Paranaense,35,26.7,38,"3,420",90,100,38.0,418,82,,113,28,317,1.34,45,43,+2,+0.05
Atl Goianiense,33,25.5,38,"3,420",90,100,38.0,418,84,,113,21,223,0.95,38,56,-18,-0.47
Atlético Mineiro,39,28.6,38,"3,420",90,100,38.0,418,83,,113,26,293,1.42,52,49,+3,+0.08
Avaí,29,27.3,38,"3,420",90,100,38.0,418,84,,112,22,290,1.13,29,48,-19,-0.50
Bahia,33,25.2,38,"3,420",90,100,38.0,418,83,,113,24,315,1.32,50,48,+2,+0.05
Botafogo (RJ),37,26.6,38,"3,420",90,100,38.0,418,84,,114,22,284,1.39,45,42,+3,+0.08
Chapecoense,38,26.4,38,"3,420",90,100,38.0,418,85,,113,19,310,1.42,47,49,-2,-0.05
Corinthians,32,25.7,38,"3,420",90,100,38.0,418,85,,113,18,326,1.89,50,30,+20,+0.53
Coritiba,35,27.0,38,"3,420",90,100,38.0,418,83,,114,26,308,1.13,42,51,-9,-0.24
Cruzeiro,35,27.6,38,"3,420",90,100,38.0,418,84,,113,21,297,1.50,47,39,+8,+0.21
Flamengo,33,27.8,38,"3,420",90,100,38.0,418,84,,112,20,322,1.47,49,38,+11,+0.29
Fluminense,38,24.6,38,"3,420",90,100,38.0,418,85,,112,18,266,1.24,50,53,-3,-0.08
Grêmio,49,26.4,38,"3,420",90,100,38.0,418,85,,112,17,295,1.63,55,36,+19,+0.50
Palmeiras,32,28.3,38,"3,420",90,100,38.0,418,84,,114,21,321,1.66,61,45,+16,+0.42
Ponte Preta,39,28.3,38,"3,420",90,100,38.0,418,83,,113,24,274,1.03,37,52,-15,-0.39
Santos,41,27.1,38,"3,420",90,100,38.0,418,85,,102,21,320,1.66,42,32,+10,+0.26
São Paulo,41,26.1,38,"3,420",90,100,38.0,418,84,,111,21,335,1.32,48,49,-1,-0.03
Sport Recife,35,28.3,38,"3,420",90,100,38.0,418,83,,109,25,316,1.18,46,58,-12,-0.32
Vasco da Gama,39,26.6,38,"3,420",90,100,38.0,418,82,,114,27,330,1.47,40,47,-7,-0.18
Vitória,37,26.6,38,"3,420",90,100,38.0,418,84,,114,23,283,1.13,50,58,-8,-0.21
