team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att
América (MG),34,38.0,30,408,127,31.1,10.74,3.34,0.07,0.21,,3,4
Ath Paranaense,34,38.0,52,524,183,34.9,13.79,4.82,0.10,0.27,,2,2
Atlético Mineiro,32,38.0,55,535,170,31.8,14.08,4.47,0.10,0.30,,4,5
Bahia,36,38.0,39,519,165,31.8,13.66,4.34,0.07,0.22,,3,4
Botafogo (RJ),34,38.0,35,494,151,30.6,13.00,3.97,0.06,0.21,,3,4
Ceará,41,38.0,32,491,147,29.9,12.92,3.87,0.06,0.20,,2,4
Chapecoense,37,38.0,33,436,108,24.8,11.47,2.84,0.07,0.27,,4,4
Corinthians,38,38.0,33,402,123,30.6,10.58,3.24,0.08,0.26,,1,1
Cruzeiro,35,38.0,32,480,144,30.0,12.63,3.79,0.06,0.19,,5,7
Flamengo,32,38.0,58,548,203,37.0,14.42,5.34,0.10,0.27,,3,3
Fluminense,38,38.0,29,469,144,30.7,12.34,3.79,0.06,0.20,,0,0
Grêmio,39,38.0,47,500,182,36.4,13.16,4.79,0.08,0.22,,7,11
Internacional,32,38.0,50,473,163,34.5,12.45,4.29,0.09,0.27,,6,8
Palmeiras,29,38.0,64,514,186,36.2,13.53,4.89,0.11,0.32,,5,8
Paraná,50,38.0,17,449,111,24.7,11.82,2.92,0.04,0.14,,1,1
Santos,35,38.0,44,487,152,31.2,12.82,4.00,0.08,0.27,,3,4
São Paulo,38,38.0,45,438,147,33.6,11.53,3.87,0.10,0.29,,3,4
Sport Recife,36,38.0,32,455,148,32.5,11.97,3.89,0.07,0.20,,2,3
Vasco da Gama,42,38.0,41,482,162,33.6,12.68,4.26,0.06,0.19,,10,12
Vitória,46,38.0,32,460,128,27.8,12.11,3.37,0.06,0.21,,5,5
