team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
América (MG),34,28.6,47.5,38,418,"3,420",38.0,30,21,51,27,3,4,86,8,0.79,0.55,1.34,0.71,1.26
Ath Paranaense,34,26.1,55.1,38,418,"3,420",38.0,52,36,88,50,2,2,90,5,1.37,0.95,2.32,1.32,2.26
Atlético Mineiro,32,28.3,55.9,38,418,"3,420",38.0,55,42,97,51,4,5,91,3,1.45,1.11,2.55,1.34,2.45
Bahia,36,26.7,48.7,38,418,"3,420",38.0,39,28,67,36,3,4,84,4,1.03,0.74,1.76,0.95,1.68
Botafogo (RJ),34,25.5,46.2,38,418,"3,420",38.0,35,28,63,32,3,4,92,5,0.92,0.74,1.66,0.84,1.58
Ceará,41,28.1,44.8,38,418,"3,420",38.0,32,22,54,30,2,4,93,3,0.84,0.58,1.42,0.79,1.37
Chapecoense,37,27.7,46.3,38,418,"3,420",38.0,33,19,52,29,4,4,76,3,0.87,0.50,1.37,0.76,1.26
Corinthians,38,26.6,54.9,38,418,"3,420",38.0,33,22,55,32,1,1,77,3,0.87,0.58,1.45,0.84,1.42
Cruzeiro,35,29.0,51.3,38,418,"3,420",38.0,32,20,52,27,5,7,99,2,0.84,0.53,1.37,0.71,1.24
Flamengo,32,26.6,56.1,38,418,"3,420",38.0,58,39,97,55,3,3,83,10,1.53,1.03,2.55,1.45,2.47
Fluminense,38,25.2,49.7,38,418,"3,420",38.0,29,26,55,29,0,0,89,5,0.76,0.68,1.45,0.76,1.45
Grêmio,39,27.5,56.8,38,418,"3,420",38.0,47,30,77,40,7,11,83,1,1.24,0.79,2.03,1.05,1.84
Internacional,32,26.7,51.9,38,418,"3,420",38.0,50,32,82,44,6,8,98,6,1.32,0.84,2.16,1.16,2.00
Palmeiras,29,28.4,49.6,38,418,"3,420",38.0,64,42,106,59,5,8,114,5,1.68,1.11,2.79,1.55,2.66
Paraná,50,25.0,41.7,38,418,"3,420",38.0,17,13,30,16,1,1,100,9,0.45,0.34,0.79,0.42,0.76
Santos,35,26.1,52.8,38,418,"3,420",38.0,44,31,75,41,3,4,89,3,1.16,0.82,1.97,1.08,1.89
São Paulo,38,28.3,47.7,38,418,"3,420",38.0,45,31,76,42,3,4,101,6,1.18,0.82,2.00,1.11,1.92
Sport Recife,36,28.2,47.5,38,418,"3,420",38.0,32,20,52,30,2,3,82,4,0.84,0.53,1.37,0.79,1.32
Vasco da Gama,42,27.2,49.5,38,418,"3,420",38.0,41,24,65,31,10,12,104,9,1.08,0.63,1.71,0.82,1.45
Vitória,46,24.6,46.7,38,418,"3,420",38.0,32,20,52,27,5,5,110,7,0.84,0.53,1.37,0.71,1.24
