team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
América (MG),3,38,38,"3,420",38.0,47,1.24,163,123,74.8,10,10,18,11,28.9,7,6,1,0,14.3
Ath Paranaense,2,38,38,"3,420",38.0,37,0.97,157,130,82.2,16,9,13,16,42.1,10,9,1,0,10.0
Atlético Mineiro,1,38,38,"3,420",38.0,43,1.13,148,110,74.3,17,8,13,11,28.9,6,5,0,1,0.0
Bahia,3,38,38,"3,417",38.0,41,1.08,130,92,70.0,12,12,14,13,34.2,3,2,1,0,33.3
Botafogo (RJ),4,38,38,"3,420",38.0,46,1.21,164,123,74.4,13,12,13,10,26.3,6,4,1,1,20.0
Ceará,2,38,38,"3,420",38.0,38,1.00,149,113,75.8,10,14,14,14,36.8,2,2,0,0,0.0
Chapecoense,1,38,38,"3,420",38.0,50,1.32,156,110,69.9,11,11,16,10,26.3,4,3,1,0,25.0
Corinthians,2,38,38,"3,420",38.0,35,0.92,170,139,81.8,11,11,16,11,28.9,4,4,0,0,0.0
Cruzeiro,2,38,38,"3,420",38.0,32,0.84,120,93,76.7,14,11,13,13,34.2,5,4,1,0,20.0
Flamengo,3,38,38,"3,420",38.0,29,0.76,128,103,78.9,21,9,8,20,52.6,4,2,2,0,50.0
Fluminense,2,38,38,"3,420",38.0,46,1.21,147,106,71.4,12,9,17,13,34.2,7,4,2,1,33.3
Grêmio,3,38,38,"3,420",38.0,27,0.71,104,77,74.0,18,12,8,21,55.3,0,0,0,0,
Internacional,3,38,38,"3,420",38.0,28,0.74,125,100,80.0,19,12,7,17,44.7,3,3,0,0,0.0
Palmeiras,3,38,38,"3,419",38.0,26,0.68,120,96,80.0,23,11,4,18,47.4,2,2,0,0,0.0
Paraná,4,38,38,"3,420",38.0,57,1.50,161,113,69.6,4,11,23,5,13.2,9,8,1,0,11.1
Santos,2,38,38,"3,420",38.0,40,1.05,142,104,73.2,13,11,14,14,36.8,2,2,0,0,0.0
São Paulo,2,38,38,"3,419",38.0,34,0.89,121,89,73.6,16,15,7,16,42.1,3,2,0,1,0.0
Sport Recife,3,38,38,"3,420",38.0,55,1.45,170,123,70.6,11,9,18,10,26.3,8,5,3,0,37.5
Vasco da Gama,2,38,38,"3,420",38.0,48,1.26,143,98,67.8,10,13,15,7,18.4,3,2,1,0,33.3
Vitória,4,38,38,"3,420",38.0,62,1.63,175,118,66.3,9,10,19,11,28.9,6,3,2,1,40.0
