team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
América (MG),46,27.2,45.3,38,418,"3,420",38.0,23,17,40,21,2,3,68,3,0.61,0.45,1.05,0.55,1.00
Ath Paranaense,36,24.8,48.6,38,418,"3,420",38.0,37,24,61,33,4,4,76,1,0.97,0.63,1.61,0.87,1.50
Atlético Mineiro,39,28.1,53.3,37,407,"3,330",37.0,61,49,110,56,5,5,76,4,1.65,1.32,2.97,1.51,2.84
Botafogo (RJ),34,26.6,48.3,38,418,"3,420",38.0,43,31,74,38,5,6,94,2,1.13,0.82,1.95,1.00,1.82
Chapecoense,35,27.8,46.2,37,407,"3,330",37.0,47,30,77,40,7,7,78,2,1.27,0.81,2.08,1.08,1.89
Corinthians,34,26.0,56.0,38,418,"3,420",38.0,47,40,87,44,3,4,80,5,1.24,1.05,2.29,1.16,2.21
Coritiba,41,26.7,46.9,38,418,"3,420",38.0,41,32,73,38,3,5,97,4,1.08,0.84,1.92,1.00,1.84
Cruzeiro,37,26.9,51.9,38,418,"3,420",38.0,48,28,76,46,2,5,98,9,1.26,0.74,2.00,1.21,1.95
Figueirense,39,26.9,43.6,38,418,"3,420",38.0,29,19,48,24,5,5,90,8,0.76,0.50,1.26,0.63,1.13
Flamengo,31,27.0,53.3,38,418,"3,420",38.0,50,35,85,45,5,7,65,5,1.32,0.92,2.24,1.18,2.11
Fluminense,33,27.2,52.1,38,418,"3,420",38.0,43,27,70,39,4,7,87,1,1.13,0.71,1.84,1.03,1.74
Grêmio,37,25.7,53.7,38,418,"3,420",38.0,40,27,67,39,1,1,94,6,1.05,0.71,1.76,1.03,1.74
Internacional,40,25.5,51.2,38,418,"3,420",38.0,34,30,64,31,3,5,101,6,0.89,0.79,1.68,0.82,1.61
Palmeiras,35,27.2,52.8,38,418,"3,420",38.0,62,43,105,58,4,5,94,0,1.63,1.13,2.76,1.53,2.66
Ponte Preta,35,26.7,45.1,38,418,"3,420",38.0,48,39,87,45,3,4,97,3,1.26,1.03,2.29,1.18,2.21
Santa Cruz,41,28.1,47.8,38,418,"3,420",38.0,45,34,79,40,5,6,92,6,1.18,0.89,2.08,1.05,1.95
Santos,38,26.1,53.7,38,418,"3,420",38.0,57,38,95,51,6,6,78,4,1.50,1.00,2.50,1.34,2.34
São Paulo,41,25.6,51.6,38,418,"3,420",38.0,44,32,76,39,5,7,92,5,1.16,0.84,2.00,1.03,1.87
Sport Recife,30,27.8,50.9,38,418,"3,420",38.0,48,31,79,45,3,4,87,7,1.26,0.82,2.08,1.18,2.00
Vitória,33,26.1,48.6,38,418,"3,420",38.0,47,30,77,43,4,8,106,6,1.24,0.79,2.03,1.13,1.92
