team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
América (MG),3,38,38,"3,420",38.0,58,1.53,180,128,71.1,7,7,24,7,18.4,6,6,0,0,0.0
Ath Paranaense,2,38,38,"3,420",38.0,32,0.84,131,105,79.4,17,6,15,16,42.1,6,5,1,0,16.7
Atlético Mineiro,3,37,37,"3,330",37.0,50,1.35,180,133,73.9,17,11,9,10,27.0,3,3,0,0,0.0
Botafogo (RJ),2,38,38,"3,420",38.0,39,1.03,137,100,71.5,17,8,13,14,36.8,2,0,2,0,100.0
Chapecoense,2,37,37,"3,330",37.0,53,1.43,165,123,73.3,13,13,11,10,27.0,11,9,2,0,18.2
Corinthians,3,38,38,"3,420",38.0,42,1.11,134,98,72.4,15,10,13,13,34.2,6,5,1,0,16.7
Coritiba,3,38,38,"3,420",38.0,42,1.11,150,113,75.3,11,13,14,14,36.8,5,5,0,0,0.0
Cruzeiro,3,38,38,"3,420",38.0,49,1.29,145,103,69.7,14,9,15,10,26.3,8,5,2,1,28.6
Figueirense,3,38,38,"3,415",38.0,50,1.32,178,135,74.7,8,13,17,11,28.9,7,5,2,0,28.6
Flamengo,2,38,38,"3,420",38.0,35,0.92,143,111,77.6,20,11,7,16,42.1,3,3,0,0,0.0
Fluminense,3,38,38,"3,420",38.0,45,1.18,155,112,72.3,13,11,14,12,31.6,2,2,0,0,0.0
Grêmio,3,38,38,"3,420",38.0,44,1.16,138,99,71.7,14,11,13,18,47.4,7,5,0,2,0.0
Internacional,5,38,38,"3,420",38.0,41,1.08,137,102,73.0,11,10,17,9,23.7,6,4,2,0,33.3
Palmeiras,4,38,38,"3,420",38.0,32,0.84,124,94,75.8,24,8,6,15,39.5,2,2,0,0,0.0
Ponte Preta,4,38,38,"3,420",38.0,52,1.37,133,86,64.7,15,8,15,11,28.9,5,5,0,0,0.0
Santa Cruz,3,38,38,"3,420",38.0,69,1.82,178,112,61.8,8,7,23,6,15.8,3,1,2,0,66.7
Santos,2,38,38,"3,417",38.0,35,0.92,168,136,81.0,22,5,11,14,36.8,4,3,0,1,0.0
São Paulo,3,38,38,"3,420",38.0,36,0.95,135,103,75.6,14,10,14,12,31.6,7,3,1,3,25.0
Sport Recife,2,38,38,"3,417",38.0,55,1.45,165,116,69.7,13,8,17,9,23.7,7,5,1,1,16.7
Vitória,2,38,38,"3,420",38.0,53,1.39,190,142,73.7,12,9,17,6,15.8,7,3,2,2,40.0
