team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
América (MG),46,27.2,38,"3,420",90,100,38.0,418,85,,113,20,253,0.74,23,58,-35,-0.92
Ath Paranaense,36,24.8,38,"3,420",90,100,38.0,418,84,,109,23,272,1.50,38,32,+6,+0.16
Atlético Mineiro,39,28.1,37,"3,330",90,100,37.0,407,84,,110,22,292,1.68,61,50,+11,+0.30
Botafogo (RJ),34,26.6,38,"3,420",90,100,38.0,418,84,,114,23,302,1.55,43,39,+4,+0.11
Chapecoense,35,27.8,37,"3,330",90,100,37.0,407,83,,111,25,260,1.41,49,53,-4,-0.11
Corinthians,34,26.0,38,"3,420",90,100,38.0,418,84,,107,22,330,1.45,48,42,+6,+0.16
Coritiba,41,26.7,38,"3,420",90,100,38.0,418,83,,114,24,283,1.21,41,42,-1,-0.03
Cruzeiro,37,26.9,38,"3,420",90,100,38.0,418,84,,114,21,336,1.34,48,49,-1,-0.03
Figueirense,39,26.9,38,"3,420",90,100,38.0,418,83,,113,25,297,0.97,30,50,-20,-0.53
Flamengo,31,27.0,38,"3,420",90,100,38.0,418,84,,113,21,318,1.87,52,35,+17,+0.45
Fluminense,33,27.2,38,"3,420",90,100,38.0,418,83,,110,28,304,1.32,45,45,0,0.00
Grêmio,37,25.7,38,"3,420",90,100,38.0,418,84,,112,21,322,1.39,41,44,-3,-0.08
Internacional,40,25.5,38,"3,420",90,100,38.0,418,83,,114,25,281,1.13,35,41,-6,-0.16
Palmeiras,35,27.2,38,"3,420",90,100,38.0,418,83,,114,25,339,2.11,62,32,+30,+0.79
Ponte Preta,35,26.7,38,"3,420",90,100,38.0,418,83,,113,24,277,1.39,48,52,-4,-0.11
Santa Cruz,41,28.1,38,"3,420",90,100,38.0,418,84,,111,24,254,0.82,45,69,-24,-0.63
Santos,38,26.1,38,"3,420",90,100,38.0,418,85,,113,17,342,1.87,59,35,+24,+0.63
São Paulo,41,25.6,38,"3,420",90,100,38.0,418,84,,107,21,282,1.37,44,36,+8,+0.21
Sport Recife,30,27.8,38,"3,420",90,100,38.0,418,84,,113,21,296,1.24,49,55,-6,-0.16
Vitória,33,26.1,38,"3,420",90,100,38.0,418,83,,113,25,262,1.18,51,53,-2,-0.05
