team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
América (MG),37,29.8,38,"3,420",90,100,38.0,418,79,227,188,23,264,1.39,40,40,0,0.00,45.6,49.7,-4.1,-0.11
Ath Paranaense,35,24.4,38,"3,420",90,100,38.0,418,80,235,180,24,267,1.53,48,48,0,0.00,47.1,48.4,-1.3,-0.04
Atl Goianiense,33,26.9,38,"3,420",90,100,38.0,418,79,238,178,25,191,0.95,39,57,-18,-0.47,43.1,51.2,-8.2,-0.21
Atlético Mineiro,32,28.7,38,"3,420",90,100,38.0,418,81,243,176,21,267,1.53,45,37,+8,+0.21,54.1,33.7,+20.4,+0.54
Avaí,45,28.7,38,"3,420",90,100,38.0,418,81,238,177,21,271,0.92,34,60,-26,-0.68,44.0,62.6,-18.6,-0.49
Botafogo (RJ),43,27.5,38,"3,420",90,100,38.0,418,81,261,153,23,295,1.39,41,43,-2,-0.05,40.8,50.4,-9.6,-0.25
Bragantino,37,23.8,38,"3,420",90,100,38.0,418,80,229,187,22,263,1.16,49,59,-10,-0.26,52.7,49.5,+3.1,+0.08
Ceará,40,29.0,38,"3,420",90,100,38.0,418,80,235,177,23,267,0.97,34,41,-7,-0.18,43.9,48.0,-4.0,-0.11
Corinthians,42,26.9,38,"3,420",90,100,38.0,418,78,236,182,27,272,1.71,44,36,+8,+0.21,40.9,41.0,-0.2,0.00
Coritiba,41,27.5,38,"3,420",90,100,38.0,418,79,233,180,25,272,1.11,39,60,-21,-0.55,42.3,53.6,-11.2,-0.30
Cuiabá,35,28.3,38,"3,420",90,100,38.0,418,80,229,186,23,267,1.08,31,42,-11,-0.29,41.0,47.8,-6.8,-0.18
Flamengo,44,27.2,38,"3,420",90,100,38.0,418,81,244,173,21,270,1.63,60,39,+21,+0.55,65.4,35.8,+29.6,+0.78
Fluminense,32,28.4,38,"3,420",90,100,38.0,418,81,235,179,21,274,1.84,63,41,+22,+0.58,50.1,40.3,+9.7,+0.26
Fortaleza,34,28.5,38,"3,420",90,100,38.0,418,80,238,178,22,267,1.45,46,39,+7,+0.18,44.5,42.9,+1.5,+0.04
Goiás,37,26.8,38,"3,420",90,100,38.0,418,80,239,178,22,230,1.21,40,53,-13,-0.34,34.6,61.6,-27.0,-0.71
Internacional,37,27.4,38,"3,420",90,100,38.0,418,81,236,181,20,267,1.92,58,31,+27,+0.71,55.8,45.1,+10.8,+0.28
Juventude,45,27.4,38,"3,420",90,100,38.0,418,79,228,185,23,239,0.58,29,69,-40,-1.05,33.4,57.1,-23.6,-0.62
Palmeiras,35,26.9,38,"3,420",90,100,38.0,418,81,230,186,19,267,2.13,66,27,+39,+1.03,69.3,33.2,+36.1,+0.95
Santos,40,25.4,38,"3,420",90,100,38.0,418,81,245,171,22,278,1.24,44,41,+3,+0.08,46.2,48.0,-1.8,-0.05
São Paulo,39,26.8,38,"3,420",90,100,38.0,418,79,227,186,24,265,1.42,55,42,+13,+0.34,49.7,44.4,+5.3,+0.14
