team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
América (MG),37,38.0,40,551,182,33.0,14.50,4.79,0.06,0.19,19.3,11,5,7,45.6,40.8,0.08,-5.6,-5.8
Ath Paranaense,35,38.0,45,496,149,30.0,13.05,3.92,0.07,0.24,21.0,20,9,11,47.1,38.7,0.08,-2.1,-2.7
Atl Goianiense,33,38.0,38,530,151,28.5,13.95,3.97,0.07,0.24,19.2,11,2,3,43.1,40.8,0.08,-5.1,-4.8
Atlético Mineiro,32,38.0,43,585,167,28.5,15.39,4.39,0.06,0.23,19.6,39,5,6,54.1,49.4,0.09,-11.1,-11.4
Avaí,45,38.0,34,428,115,26.9,11.26,3.03,0.05,0.18,21.0,25,13,14,44.0,33.7,0.08,-10.0,-12.7
Botafogo (RJ),43,38.0,40,518,168,32.4,13.63,4.42,0.07,0.21,20.0,23,4,4,40.8,38.2,0.08,-0.8,-2.2
Bragantino,37,38.0,48,539,166,30.8,14.18,4.37,0.08,0.27,19.2,29,4,5,52.7,48.7,0.09,-4.7,-4.7
Ceará,40,38.0,32,517,154,29.8,13.61,4.05,0.05,0.18,19.1,23,5,7,43.9,38.4,0.08,-11.9,-11.4
Corinthians,42,38.0,42,446,145,32.5,11.74,3.82,0.09,0.27,18.5,25,3,3,40.9,38.7,0.09,+1.1,+0.3
Coritiba,41,38.0,39,504,142,28.2,13.26,3.74,0.07,0.25,19.8,15,4,4,42.3,39.7,0.08,-3.3,-4.7
Cuiabá,35,38.0,31,460,124,27.0,12.11,3.26,0.06,0.22,18.4,16,4,5,41.0,37.2,0.08,-10.0,-10.2
Flamengo,44,38.0,59,558,199,35.7,14.68,5.24,0.10,0.28,17.0,26,3,6,65.4,60.6,0.11,-6.4,-4.6
Fluminense,32,38.0,62,548,187,34.1,14.42,4.92,0.11,0.31,19.0,22,4,4,50.1,47.1,0.09,+11.9,+10.9
Fortaleza,34,38.0,45,515,166,32.2,13.55,4.37,0.08,0.26,20.5,31,2,6,44.5,41.0,0.08,+0.5,+2.0
Goiás,37,38.0,40,411,119,29.0,10.82,3.13,0.08,0.29,19.3,23,6,6,34.6,30.3,0.07,+5.4,+3.7
Internacional,37,38.0,58,510,176,34.5,13.42,4.63,0.10,0.28,18.2,19,8,10,55.8,48.1,0.10,+2.2,+1.9
Juventude,45,38.0,27,445,132,29.7,11.71,3.47,0.06,0.19,19.9,16,2,4,33.4,30.3,0.07,-6.4,-5.3
Palmeiras,35,38.0,64,667,223,33.4,17.55,5.87,0.09,0.26,18.3,37,7,9,69.3,62.4,0.10,-5.3,-5.4
Santos,40,38.0,42,481,157,32.6,12.66,4.13,0.08,0.25,19.1,24,3,3,46.2,43.8,0.09,-4.2,-4.8
São Paulo,39,38.0,55,501,155,30.9,13.18,4.08,0.10,0.32,17.7,15,5,7,49.7,44.4,0.09,+5.3,+5.6
