team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
América (MG),3,38,38,"3,420",38.0,40,1.05,176,135,78.4,15,8,15,11,28.9,5,2,2,1,50.0
Ath Paranaense,2,38,38,"3,420",38.0,48,1.26,170,122,73.5,16,10,12,13,34.2,4,3,1,0,25.0
Atl Goianiense,4,38,38,"3,420",38.0,57,1.50,194,139,72.2,8,12,18,4,10.5,3,3,0,0,0.0
Atlético Mineiro,2,38,38,"3,420",38.0,37,0.97,121,83,74.4,15,13,10,16,42.1,7,6,1,0,14.3
Avaí,3,38,38,"3,414",38.0,60,1.58,173,113,69.9,9,8,21,6,15.8,10,8,1,1,11.1
Botafogo (RJ),4,38,38,"3,420",38.0,43,1.13,145,102,73.1,15,8,15,11,28.9,5,4,1,0,20.0
Bragantino,2,38,38,"3,420",38.0,59,1.55,170,112,70.6,11,11,16,7,18.4,11,9,1,1,10.0
Ceará,3,38,38,"3,420",38.0,41,1.08,166,123,78.3,7,16,15,8,21.1,7,5,2,0,28.6
Corinthians,3,38,38,"3,420",38.0,36,0.95,157,122,80.9,18,11,9,14,36.8,6,6,0,0,0.0
Coritiba,3,38,38,"3,420",38.0,60,1.58,189,128,70.4,12,6,20,9,23.7,6,4,2,0,33.3
Cuiabá,2,38,38,"3,420",38.0,42,1.11,174,132,78.2,10,11,17,9,23.7,6,4,1,1,20.0
Flamengo,3,38,38,"3,420",38.0,39,1.03,140,102,75.7,18,8,12,11,28.9,5,5,0,0,0.0
Fluminense,1,38,38,"3,420",38.0,41,1.08,151,111,74.8,21,7,10,14,36.8,3,3,0,0,0.0
Fortaleza,3,38,38,"3,420",38.0,39,1.03,167,130,79.0,15,10,13,15,39.5,5,4,0,1,0.0
Goiás,1,38,38,"3,420",38.0,53,1.39,200,146,77.0,11,13,14,8,21.1,9,7,1,1,12.5
Internacional,2,38,38,"3,420",38.0,31,0.82,148,117,81.8,20,13,5,18,47.4,5,4,0,1,0.0
Juventude,3,38,38,"3,420",38.0,69,1.82,199,130,68.3,3,13,22,4,10.5,9,6,3,0,33.3
Palmeiras,3,38,38,"3,420",38.0,27,0.71,124,99,80.6,23,12,3,19,50.0,3,3,0,0,0.0
Santos,2,38,38,"3,420",38.0,41,1.08,173,133,79.8,12,11,15,11,28.9,7,6,0,1,0.0
São Paulo,3,38,38,"3,420",38.0,42,1.11,156,112,76.9,13,15,10,9,23.7,7,6,1,0,14.3
