team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
América (MG),37,29.8,45.9,38,418,"3,420",38.0,40,29,69,35,5,7,85,5,45.6,40.8,33.3,74.0,697,1634,1.05,0.76,1.82,0.92,1.68,1.20,0.88,2.07,1.07,1.95
Ath Paranaense,35,24.4,44.1,38,418,"3,420",38.0,45,26,71,36,9,11,92,4,47.1,38.7,28.6,67.3,565,1274,1.18,0.68,1.87,0.95,1.63,1.24,0.75,1.99,1.02,1.77
Atl Goianiense,33,26.9,50.6,38,418,"3,420",38.0,38,25,63,36,2,3,100,6,43.1,40.8,32.0,72.8,705,1531,1.00,0.66,1.66,0.95,1.61,1.13,0.84,1.98,1.07,1.92
Atlético Mineiro,32,28.7,58.6,38,418,"3,420",38.0,43,27,70,38,5,6,89,0,54.1,49.4,38.4,87.8,694,1820,1.13,0.71,1.84,1.00,1.71,1.42,1.01,2.43,1.30,2.31
Avaí,45,28.7,50.2,38,418,"3,420",38.0,34,10,44,21,13,14,104,4,44.0,33.7,24.0,57.7,563,1345,0.89,0.26,1.16,0.55,0.82,1.16,0.63,1.79,0.89,1.52
Botafogo (RJ),43,27.5,48.7,38,418,"3,420",38.0,40,21,61,36,4,4,97,4,40.8,38.2,30.5,68.7,626,1299,1.05,0.55,1.61,0.95,1.50,1.07,0.80,1.88,1.00,1.81
Bragantino,37,23.8,49.7,38,418,"3,420",38.0,48,29,77,44,4,5,86,6,52.7,48.7,36.9,85.6,659,1508,1.26,0.76,2.03,1.16,1.92,1.39,0.97,2.36,1.28,2.25
Ceará,40,29.0,50.9,38,418,"3,420",38.0,32,12,44,27,5,7,126,10,43.9,38.4,29.8,68.2,610,1472,0.84,0.32,1.16,0.71,1.03,1.16,0.78,1.94,1.01,1.80
Corinthians,42,26.9,54.7,38,418,"3,420",38.0,42,28,70,39,3,3,76,3,40.9,38.7,28.7,67.4,606,1493,1.11,0.74,1.84,1.03,1.76,1.08,0.76,1.83,1.02,1.77
Coritiba,41,27.5,45.2,38,418,"3,420",38.0,39,26,65,35,4,4,110,11,42.3,39.7,32.0,71.7,624,1343,1.03,0.68,1.71,0.92,1.61,1.11,0.84,1.96,1.05,1.89
Cuiabá,35,28.3,44.2,38,418,"3,420",38.0,31,16,47,27,4,5,81,6,41.0,37.2,27.9,65.1,538,1374,0.82,0.42,1.24,0.71,1.13,1.08,0.73,1.81,0.98,1.71
Flamengo,44,27.2,57.3,38,418,"3,420",38.0,59,49,108,56,3,6,84,4,65.4,60.6,50.6,111.2,787,1966,1.55,1.29,2.84,1.47,2.76,1.72,1.33,3.05,1.60,2.93
Fluminense,32,28.4,60.8,38,418,"3,420",38.0,62,47,109,58,4,4,79,9,50.1,47.1,37.6,84.7,773,1625,1.63,1.24,2.87,1.53,2.76,1.32,0.99,2.31,1.24,2.23
Fortaleza,34,28.5,45.2,38,418,"3,420",38.0,45,36,81,43,2,6,85,4,44.5,41.0,32.2,73.1,614,1385,1.18,0.95,2.13,1.13,2.08,1.17,0.85,2.02,1.08,1.92
Goiás,37,26.8,40.2,38,418,"3,420",38.0,40,28,68,34,6,6,114,5,34.6,30.3,23.6,53.9,494,972,1.05,0.74,1.79,0.89,1.63,0.91,0.62,1.53,0.80,1.42
Internacional,37,27.4,50.0,38,418,"3,420",38.0,58,40,98,50,8,10,86,2,55.8,48.1,40.0,88.1,750,1504,1.53,1.05,2.58,1.32,2.37,1.47,1.05,2.52,1.27,2.32
Juventude,45,27.4,45.8,38,418,"3,420",38.0,27,18,45,25,2,4,109,8,33.4,30.3,21.6,52.0,509,1216,0.71,0.47,1.18,0.66,1.13,0.88,0.57,1.45,0.80,1.37
Palmeiras,35,26.9,54.3,38,418,"3,420",38.0,64,47,111,57,7,9,75,3,69.3,62.4,48.2,110.6,750,1718,1.68,1.24,2.92,1.50,2.74,1.82,1.27,3.09,1.64,2.91
Santos,40,25.4,48.1,38,418,"3,420",38.0,42,31,73,39,3,3,100,3,46.2,43.8,33.4,77.2,661,1394,1.11,0.82,1.92,1.03,1.84,1.22,0.88,2.09,1.15,2.03
São Paulo,39,26.8,55.5,38,418,"3,420",38.0,55,38,93,50,5,7,103,6,49.7,44.4,35.6,79.9,651,1694,1.45,1.00,2.45,1.32,2.32,1.31,0.94,2.24,1.17,2.10
