team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
América (MG),2,38.0,37,3,1,1,0,42.9,0.25,+5.9,+0.16,177,490,36.1,818,185,46.2,37.1,280,40.0,33.9,527,39,7.4,43,1.13,6.1
Ath Paranaense,2,38.0,45,5,0,6,2,42.1,0.26,-0.9,-0.02,201,452,44.5,853,174,37.0,36.3,331,41.1,36.9,547,26,4.8,29,0.76,12.5
Atl Goianiense,3,38.0,36,4,0,2,1,38.1,0.21,+3.1,+0.08,115,375,30.7,713,178,33.8,38.6,356,37.6,34.9,745,32,4.3,23,0.61,5.3
Atlético Mineiro,2,38.0,34,3,1,7,2,33.6,0.26,+1.6,+0.04,153,352,43.5,928,128,35.3,31.1,225,10.7,17.3,460,25,5.4,50,1.32,15.5
Bahia,3,38.0,51,9,2,6,0,47.1,0.25,-3.9,-0.10,95,301,31.6,706,178,26.6,32.6,293,38.6,31.4,629,23,3.7,22,0.58,9.9
Bragantino,2,38.0,46,3,1,4,1,48.6,0.27,+3.6,+0.10,238,558,42.7,1085,174,40.5,30.5,292,40.8,36.8,611,15,2.5,43,1.13,21.4
Ceará,3,38.0,38,3,1,6,1,42.7,0.28,+5.7,+0.15,225,519,43.4,709,143,46.5,37.9,328,57.6,44.5,563,17,3.0,24,0.63,13.8
Chapecoense,3,38.0,67,8,0,8,1,59.6,0.26,-6.4,-0.17,169,570,29.6,650,121,52.3,44.7,373,61.7,47.7,662,28,4.2,24,0.63,10.8
Corinthians,2,38.0,36,3,1,3,0,37.8,0.23,+1.8,+0.05,182,381,47.8,723,147,36.5,18.8,312,37.5,33.1,514,21,4.1,15,0.39,18.5
Cuiabá,2,38.0,37,1,1,4,0,39.8,0.25,+2.8,+0.07,215,456,47.1,748,109,39.8,36.2,326,48.5,37.2,680,25,3.7,15,0.39,9.5
Flamengo,3,38.0,36,0,0,4,0,38.8,0.27,+2.8,+0.07,94,223,42.2,703,153,22.6,27.7,229,27.9,25.9,415,12,2.9,24,0.63,15.8
Fluminense,2,38.0,38,9,1,6,2,41.0,0.22,+5.0,+0.13,156,408,38.2,592,148,43.4,37.2,275,54.9,42.0,544,33,6.1,22,0.58,11.0
Fortaleza,2,38.0,45,7,1,4,2,44.6,0.25,+1.6,+0.04,216,486,44.4,806,105,45.4,34.9,296,40.5,33.0,548,13,2.4,16,0.42,11.2
Grêmio,3,38.0,51,4,3,3,1,47.7,0.27,-2.3,-0.06,114,366,31.1,546,128,44.1,27.8,239,52.3,40.8,431,26,6.0,13,0.34,13.0
Internacional,2,38.0,42,5,2,4,2,49.2,0.28,+9.2,+0.24,208,578,36.0,824,119,45.4,39.9,310,65.8,45.9,555,17,3.1,14,0.37,10.2
Juventude,2,38.0,44,4,2,6,2,39.2,0.28,-2.8,-0.07,157,473,33.2,734,134,42.4,37.2,328,49.4,39.3,650,24,3.7,25,0.66,12.3
Palmeiras,3,38.0,43,4,2,3,0,45.7,0.26,+2.7,+0.07,192,483,39.8,927,161,38.7,43.6,303,40.9,36.6,574,30,5.2,26,0.68,10.5
Santos,3,38.0,40,6,0,6,1,48.9,0.26,+9.9,+0.26,103,344,29.9,971,146,23.0,39.9,288,42.0,35.5,538,14,2.6,62,1.63,9.9
São Paulo,1,38.0,39,0,1,5,1,42.2,0.28,+4.2,+0.11,181,520,34.8,978,133,42.9,36.8,258,38.8,35.0,489,15,3.1,36,0.95,14.9
Sport Recife,2,38.0,37,5,0,7,3,42.9,0.21,+8.9,+0.23,170,421,40.4,848,262,30.3,23.2,322,50.9,40.9,657,56,8.5,20,0.53,12.7
