team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
América (MG),36,38.0,64,1,1,552,575,71,739,431,363,6,4,0,2109,623,672,48.1
Ath Paranaense,40,38.0,83,3,0,566,498,38,776,414,296,1,6,2,1756,560,547,50.6
Atl Goianiense,31,38.0,89,2,0,537,537,48,632,349,313,3,6,1,1864,529,563,48.4
Atlético Mineiro,35,38.0,79,2,2,576,500,49,714,369,361,8,5,2,1861,441,430,50.6
Bahia,38,38.0,94,5,3,585,503,42,848,453,338,3,9,0,1791,651,623,51.1
Bragantino,39,38.0,89,2,1,571,554,33,764,481,346,2,5,1,2002,489,482,50.4
Ceará,38,38.0,89,4,2,577,529,52,672,388,334,3,6,1,1917,664,591,52.9
Chapecoense,42,38.0,77,5,2,565,485,54,732,451,340,3,8,1,1828,461,585,44.1
Corinthians,33,38.0,61,3,1,417,566,31,649,379,288,4,3,0,1668,516,499,50.8
Cuiabá,30,38.0,87,6,3,533,535,66,580,413,316,3,3,0,1894,629,611,50.7
Flamengo,41,38.0,84,3,1,568,511,57,700,404,386,3,1,0,2131,547,435,55.7
Fluminense,36,38.0,85,3,1,553,560,48,717,330,361,3,9,2,1874,488,529,48.0
Fortaleza,28,38.0,90,4,2,591,591,80,608,413,299,2,9,2,1979,587,531,52.5
Grêmio,39,38.0,102,7,1,643,487,34,782,434,370,4,5,1,2089,622,578,51.8
Internacional,36,38.0,105,11,1,660,562,42,725,426,357,5,5,2,1920,571,631,47.5
Juventude,35,38.0,89,3,1,572,656,41,635,401,298,4,5,2,1820,561,589,48.8
Palmeiras,46,38.0,84,7,4,538,559,72,739,419,356,2,6,0,1790,560,480,53.8
Santos,38,38.0,90,1,0,533,551,59,771,399,293,5,9,1,1947,527,550,48.9
São Paulo,32,38.0,95,4,0,644,527,85,882,331,303,3,1,1,1974,522,567,47.9
Sport Recife,38,38.0,89,4,2,587,520,39,702,428,325,2,5,3,1819,479,534,47.3
