team,players_used,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
América (MG),36,38.0,16199,14174,1954,625,31,139,739,779,195,63,75,3,12255,71,369
Ath Paranaense,40,38.0,17893,15975,1880,532,22,265,776,750,185,54,107,1,14288,38,294
Atl Goianiense,31,38.0,17320,15332,1940,607,21,131,632,705,198,94,78,2,13678,48,270
Atlético Mineiro,35,38.0,20562,18795,1718,527,37,122,714,654,242,95,86,0,17120,49,317
Bahia,38,38.0,16621,14652,1927,568,28,98,848,773,207,81,99,0,12756,42,334
Bragantino,39,38.0,17616,15724,1859,598,38,288,764,706,180,143,11,5,13916,33,262
Ceará,38,38.0,15625,13634,1939,568,40,151,672,769,199,74,93,7,11834,52,334
Chapecoense,42,38.0,15199,13194,1951,534,23,127,732,755,186,54,108,1,11455,54,367
Corinthians,33,38.0,21763,19770,1962,629,24,131,649,741,207,81,112,0,18288,31,351
Cuiabá,30,38.0,16500,14567,1867,596,25,158,580,731,139,42,84,0,12902,66,307
Flamengo,41,38.0,21355,19471,1827,570,50,137,700,725,230,61,106,1,17882,57,315
Fluminense,36,38.0,17969,16063,1858,592,32,111,717,746,172,69,94,2,14421,48,303
Fortaleza,28,38.0,16426,14452,1894,644,43,136,608,695,176,48,93,1,12862,80,253
Grêmio,39,38.0,18831,17022,1775,506,38,193,782,699,242,67,83,1,15076,34,315
Internacional,36,38.0,17928,15885,2001,616,40,141,725,803,194,60,121,2,14134,42,307
Juventude,35,38.0,16168,14153,1974,679,17,111,635,741,144,58,58,3,12716,41,254
Palmeiras,46,38.0,17562,15622,1868,597,32,185,739,671,217,89,75,1,14104,72,247
Santos,38,38.0,19145,17192,1894,598,28,107,771,743,189,116,53,0,15420,59,300
São Paulo,32,38.0,19489,17478,1926,573,36,114,882,804,214,100,95,0,15519,85,340
Sport Recife,38,38.0,16541,14729,1773,555,19,133,702,662,162,64,72,0,13074,39,271
