team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
América (MG),2,38,38,"3,420",38.0,37,0.97,163,125,79.1,13,14,11,13,34.2,4,3,1,0,25.0
Ath Paranaense,2,38,38,"3,420",38.0,45,1.18,141,97,71.6,13,8,17,9,23.7,6,5,1,0,16.7
Atl Goianiense,3,38,38,"3,420",38.0,36,0.95,151,114,78.8,13,14,11,16,42.1,6,4,2,0,33.3
Atlético Mineiro,2,38,38,"3,420",38.0,34,0.89,117,84,73.5,26,6,6,16,42.1,5,3,1,1,25.0
Bahia,3,38,38,"3,420",38.0,51,1.34,164,113,74.4,11,10,17,13,34.2,9,9,0,0,0.0
Bragantino,2,38,38,"3,420",38.0,46,1.21,171,125,74.9,14,14,10,11,28.9,5,3,1,1,25.0
Ceará,3,38,38,"3,420",38.0,38,1.00,142,104,75.4,11,17,10,15,39.5,6,3,1,2,25.0
Chapecoense,3,38,38,"3,420",38.0,67,1.76,206,140,71.4,1,12,25,3,7.9,8,8,0,0,0.0
Corinthians,2,38,38,"3,420",38.0,36,0.95,160,124,79.4,15,12,11,12,31.6,3,3,0,0,0.0
Cuiabá,2,38,38,"3,420",38.0,37,0.97,153,115,76.5,10,17,11,15,39.5,3,1,1,1,50.0
Flamengo,3,38,38,"3,420",38.0,36,0.95,141,104,74.5,21,8,9,14,36.8,1,0,1,0,100.0
Fluminense,2,38,38,"3,420",38.0,38,1.00,144,108,79.9,15,9,14,12,31.6,9,9,0,0,0.0
Fortaleza,2,38,38,"3,420",38.0,45,1.18,153,109,75.2,17,7,14,14,36.8,9,7,1,1,12.5
Grêmio,3,38,38,"3,420",38.0,51,1.34,159,108,70.4,12,7,19,10,26.3,5,4,1,0,20.0
Internacional,2,38,38,"3,420",38.0,42,1.11,161,121,77.0,12,12,14,11,28.9,5,5,0,0,0.0
Juventude,2,38,38,"3,420",38.0,44,1.16,131,89,69.5,11,13,14,12,31.6,5,4,0,1,0.0
Palmeiras,3,38,38,"3,420",38.0,43,1.13,156,112,75.0,20,6,12,13,34.2,6,4,1,1,20.0
Santos,3,38,38,"3,420",38.0,40,1.05,157,116,78.3,12,14,12,17,44.7,9,6,2,1,25.0
São Paulo,1,38,38,"3,420",38.0,39,1.03,150,111,74.0,11,15,12,14,36.8,1,0,1,0,100.0
Sport Recife,2,38,38,"3,420",38.0,37,0.97,178,144,82.0,9,11,18,14,36.8,5,5,0,0,0.0
