team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
América (MG),36,29.2,38,"3,420",90,100,38.0,418,82,237,182,19,262,1.39,41,37,+4,+0.11,56.1,46.8,+9.3,+0.24
Ath Paranaense,40,25.2,38,"3,420",90,100,38.0,418,81,241,175,20,270,1.24,41,45,-4,-0.11,41.8,45.5,-3.7,-0.10
Atl Goianiense,31,26.5,38,"3,420",90,100,38.0,418,81,251,168,22,199,1.39,33,36,-3,-0.08,37.0,50.6,-13.6,-0.36
Atlético Mineiro,35,27.8,38,"3,420",90,100,38.0,418,82,238,181,19,262,2.21,67,34,+33,+0.87,57.8,34.0,+23.8,+0.63
Bahia,38,27.2,38,"3,420",90,100,38.0,418,82,240,175,19,274,1.13,42,51,-9,-0.24,45.6,46.2,-0.6,-0.02
Bragantino,39,23.8,38,"3,420",90,100,38.0,418,83,257,161,17,291,1.47,55,46,+9,+0.24,47.2,48.5,-1.3,-0.03
Ceará,38,27.2,38,"3,420",90,100,38.0,418,81,236,181,20,274,1.32,39,38,+1,+0.03,47.9,49.9,-2.0,-0.05
Chapecoense,42,25.5,38,"3,420",90,100,38.0,418,79,234,182,25,226,0.39,27,67,-40,-1.05,39.5,65.4,-25.8,-0.68
Corinthians,33,28.3,38,"3,420",90,100,38.0,418,83,270,147,18,306,1.50,40,36,+4,+0.11,40.2,37.0,+3.3,+0.09
Cuiabá,30,28.5,38,"3,420",90,100,38.0,418,79,227,187,24,249,1.24,34,37,-3,-0.08,36.6,45.5,-8.9,-0.23
Flamengo,41,27.4,38,"3,420",90,100,38.0,418,83,249,166,18,275,1.87,69,36,+33,+0.87,66.5,40.3,+26.3,+0.69
Fluminense,36,26.5,38,"3,420",90,100,38.0,418,82,233,185,18,270,1.42,38,38,0,0.00,44.3,46.4,-2.1,-0.06
Fortaleza,28,27.8,38,"3,420",90,100,38.0,418,82,246,172,20,277,1.53,44,45,-1,-0.03,50.6,48.2,+2.3,+0.06
Grêmio,39,26.9,38,"3,420",90,100,38.0,418,81,242,172,21,282,1.13,44,51,-7,-0.18,50.5,43.2,+7.3,+0.19
Internacional,36,26.2,38,"3,420",90,100,38.0,418,80,251,162,24,247,1.26,44,42,+2,+0.05,50.6,54.5,-3.9,-0.10
Juventude,35,27.2,38,"3,420",90,100,38.0,418,82,245,171,18,274,1.21,36,44,-8,-0.21,37.5,42.4,-4.9,-0.13
Palmeiras,46,26.8,38,"3,420",90,100,38.0,418,80,236,177,22,238,1.74,58,43,+15,+0.39,56.3,48.5,+7.8,+0.21
Santos,38,25.6,38,"3,420",90,100,38.0,418,81,253,165,21,289,1.32,35,40,-5,-0.13,44.7,51.1,-6.4,-0.17
São Paulo,32,26.5,38,"3,420",90,100,38.0,418,81,243,172,22,274,1.26,31,39,-8,-0.21,45.5,41.6,+3.9,+0.10
Sport Recife,38,26.1,38,"3,420",90,100,38.0,418,81,254,161,22,259,1.00,24,37,-13,-0.34,39.8,50.7,-10.8,-0.28
