team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
América (MG),36,38.0,41,569,157,27.6,14.97,4.13,0.06,0.22,20.3,17,6,9,56.1,49.1,0.09,-15.1,-14.1
Ath Paranaense,40,38.0,41,506,137,27.1,13.32,3.61,0.08,0.28,20.1,32,2,2,41.8,40.2,0.08,-0.8,-1.2
Atl Goianiense,31,38.0,32,401,108,26.9,10.55,2.84,0.07,0.26,19.7,19,4,4,37.0,33.9,0.09,-5.0,-5.9
Atlético Mineiro,35,38.0,67,527,173,32.8,13.87,4.55,0.11,0.33,20.4,31,10,11,57.8,49.3,0.09,+9.2,+7.7
Bahia,38,38.0,42,466,144,30.9,12.26,3.79,0.08,0.26,19.2,21,4,5,45.6,41.7,0.09,-3.6,-3.7
Bragantino,39,38.0,53,500,160,32.0,13.16,4.21,0.10,0.32,20.2,24,2,4,47.2,44.1,0.09,+5.8,+6.9
Ceará,38,38.0,38,507,161,31.8,13.34,4.24,0.07,0.22,19.2,25,3,4,47.9,44.9,0.09,-9.9,-9.9
Chapecoense,42,38.0,26,399,115,28.8,10.50,3.03,0.06,0.19,19.3,15,4,5,39.5,35.8,0.09,-13.5,-13.8
Corinthians,33,38.0,39,406,139,34.2,10.68,3.66,0.08,0.24,18.7,19,5,6,40.2,35.5,0.09,-1.2,-1.5
Cuiabá,30,38.0,32,413,124,30.0,10.87,3.26,0.07,0.23,20.3,9,4,4,36.6,33.4,0.08,-4.6,-5.4
Flamengo,41,38.0,67,578,224,38.8,15.21,5.89,0.11,0.29,19.0,24,3,4,66.5,63.4,0.11,+0.5,+0.6
Fluminense,36,38.0,37,411,137,33.3,10.82,3.61,0.08,0.24,19.0,21,4,5,44.3,40.4,0.10,-7.3,-7.4
Fortaleza,28,38.0,43,533,172,32.3,14.03,4.53,0.07,0.23,21.1,25,4,7,50.6,44.9,0.09,-7.6,-5.9
Grêmio,39,38.0,43,549,169,30.8,14.45,4.45,0.07,0.24,20.6,26,3,7,50.5,45.1,0.08,-7.5,-5.1
Internacional,36,38.0,43,458,160,34.9,12.05,4.21,0.08,0.23,19.2,20,6,6,50.6,45.9,0.10,-7.6,-8.9
Juventude,35,38.0,34,410,124,30.2,10.79,3.26,0.07,0.23,20.5,26,5,6,37.5,33.1,0.08,-3.5,-4.1
Palmeiras,46,38.0,54,544,177,32.5,14.32,4.66,0.09,0.28,19.3,29,4,5,56.3,52.8,0.10,-2.3,-2.8
Santos,38,38.0,34,462,136,29.4,12.16,3.58,0.06,0.21,21.0,35,6,8,44.7,38.5,0.08,-10.7,-10.5
São Paulo,32,38.0,30,446,148,33.2,11.74,3.89,0.06,0.18,18.8,16,4,4,45.5,42.4,0.10,-15.5,-16.4
Sport Recife,38,38.0,24,462,132,28.6,12.16,3.47,0.05,0.16,21.2,25,3,4,39.8,36.7,0.08,-15.8,-15.7
