team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
América (MG),36,47.6,38.0,20646,2049,5898,9288,5724,728,20637,716,419,58.5,297,41.5,11475,66153,34680,736,577,143,650,370,12120,1494
Ath Paranaense,40,49.0,38.0,21642,2254,6725,10308,4778,614,21640,474,281,59.3,192,40.5,12455,62093,31982,579,403,90,558,296,14167,1423
Atl Goianiense,31,49.4,38.0,21323,2516,7478,9266,4803,559,21319,653,355,54.4,298,45.6,11937,64108,33831,559,401,111,590,307,13545,1390
Atlético Mineiro,35,56.2,38.0,24352,2147,6899,11649,6030,764,24341,617,369,59.8,247,40.0,14004,66454,35117,616,530,153,573,316,16969,1738
Bahia,38,47.1,38.0,20674,2071,6524,9406,4942,646,20669,529,303,57.3,226,42.7,11718,59550,32444,630,429,108,585,312,12634,1491
Bragantino,39,49.6,38.0,21872,2392,7237,9689,5181,581,21868,595,368,61.8,227,38.2,12799,70944,38502,661,540,112,649,350,13780,1448
Ceará,38,46.6,38.0,19727,2022,5690,9315,4964,687,19723,578,364,63.0,214,37.0,10355,54107,27677,548,419,117,616,301,11720,1373
Chapecoense,42,42.6,38.0,19308,2258,6742,8523,4280,510,19303,583,347,59.5,235,40.3,10696,57013,27567,504,386,91,618,301,11353,1094
Corinthians,33,54.6,38.0,25491,2172,7661,12656,5408,660,25485,653,357,54.7,296,45.3,15831,76912,38663,656,547,145,580,303,18185,1540
Cuiabá,30,46.3,38.0,20547,2313,6633,9378,4772,538,20543,590,318,53.9,272,46.1,11141,62211,31823,567,446,109,674,297,12777,1335
Flamengo,41,58.5,38.0,25508,1892,6162,12272,7378,1001,25504,853,525,61.5,328,38.5,16237,84683,44738,894,654,244,659,376,17727,2033
Fluminense,36,49.7,38.0,21906,1917,6590,10771,4787,631,21901,629,378,60.1,251,39.9,12490,62762,33478,565,446,110,605,332,14306,1404
Fortaleza,28,49.9,38.0,20351,1952,5818,10082,4735,676,20344,708,445,62.9,263,37.1,11564,65175,34275,628,511,121,632,257,12717,1465
Grêmio,39,51.9,38.0,22810,1554,5505,11102,6468,752,22803,741,439,59.2,301,40.6,13408,69727,36008,813,631,180,561,306,14917,1605
Internacional,36,50.8,38.0,22085,2112,6230,11016,5090,623,22079,624,341,54.6,283,45.4,12506,66490,34636,672,559,115,610,316,13980,1337
Juventude,35,44.6,38.0,20119,2160,6793,9354,4191,492,20113,615,371,60.3,244,39.7,11146,57169,28462,494,410,98,607,322,12618,1169
Palmeiras,46,50.1,38.0,21585,2223,6819,10154,4867,736,21580,600,349,58.2,252,42.0,13042,70030,36705,694,514,160,529,258,13992,1487
Santos,38,53.4,38.0,23122,2245,6849,10799,5731,584,23114,683,379,55.5,304,44.5,13656,78866,43513,792,656,125,611,293,15292,1535
São Paulo,32,56.1,38.0,23281,2031,6573,11372,5559,695,23277,595,367,61.7,227,38.2,13077,68590,36186,677,503,112,593,308,15384,1618
Sport Recife,38,46.0,38.0,20643,2320,6862,9634,4374,518,20639,646,374,57.9,272,42.1,12068,63725,34579,585,462,66,643,295,12969,1247
