team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Ath Paranaense,36,26.2,38,"3,420",90,100,38.0,418,84,,114,20,293,1.68,51,32,+19,+0.50,64.0,49.8,+14.2,+0.37
Atlético Mineiro,32,28.1,38,"3,420",90,100,38.0,418,84,,113,22,321,1.26,45,49,-4,-0.11,59.5,50.3,+9.2,+0.24
Avaí,42,26.7,38,"3,420",90,100,38.0,418,83,,113,25,298,0.53,18,62,-44,-1.16,34.8,57.9,-23.1,-0.61
Bahia,31,27.0,38,"3,420",90,100,38.0,418,83,,112,23,321,1.29,44,43,+1,+0.03,51.7,47.4,+4.3,+0.11
Botafogo (RJ),33,26.9,38,"3,420",90,100,38.0,418,84,,114,22,318,1.13,31,45,-14,-0.37,37.9,62.9,-24.9,-0.66
Ceará,33,29.0,38,"3,420",90,100,38.0,418,84,,114,23,293,1.03,36,41,-5,-0.13,48.7,53.4,-4.7,-0.12
Chapecoense,36,28.8,38,"3,420",90,100,38.0,418,83,,113,23,313,0.84,31,52,-21,-0.55,41.7,67.7,-26.0,-0.68
Corinthians,33,28.0,38,"3,420",90,100,38.0,418,85,,114,18,330,1.47,42,34,+8,+0.21,42.4,42.8,-0.5,-0.01
Cruzeiro,35,28.9,38,"3,420",90,100,38.0,418,83,,113,26,311,0.95,27,46,-19,-0.50,46.5,51.4,-4.8,-0.13
CSA,40,28.7,38,"3,420",90,100,38.0,418,83,,113,25,255,0.84,24,58,-34,-0.89,34.6,64.1,-29.5,-0.78
Flamengo,37,26.8,38,"3,420",90,100,38.0,418,85,,111,20,341,2.37,86,37,+49,+1.29,81.6,42.8,+38.8,+1.02
Fluminense,39,25.1,38,"3,420",90,100,38.0,418,84,,109,21,321,1.21,38,46,-8,-0.21,54.6,53.0,+1.6,+0.04
Fortaleza,32,28.1,38,"3,420",90,100,38.0,418,84,,113,23,330,1.39,50,49,+1,+0.03,50.0,62.1,-12.0,-0.32
Goiás,39,26.4,38,"3,420",90,100,38.0,418,84,,114,22,310,1.37,46,64,-18,-0.47,47.2,63.4,-16.2,-0.43
Grêmio,40,27.6,38,"3,420",90,100,38.0,418,84,,112,20,302,1.71,64,39,+25,+0.66,57.0,42.4,+14.6,+0.39
Internacional,38,27.9,38,"3,420",90,100,38.0,418,84,,112,22,330,1.50,44,39,+5,+0.13,53.0,47.5,+5.5,+0.15
Palmeiras,35,28.5,38,"3,420",90,100,38.0,418,84,,112,23,340,1.95,61,32,+29,+0.76,59.7,33.3,+26.5,+0.70
Santos,30,26.5,38,"3,420",90,100,38.0,418,84,,111,22,340,1.95,60,33,+27,+0.71,62.1,39.8,+22.3,+0.59
São Paulo,37,26.5,38,"3,420",90,100,38.0,418,83,,110,24,340,1.66,39,30,+9,+0.24,44.1,42.3,+1.9,+0.05
Vasco da Gama,39,26.0,38,"3,420",90,100,38.0,418,83,,114,26,339,1.29,39,45,-6,-0.16,56.7,53.8,+2.9,+0.08
