team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ath Paranaense,36,38.0,82,1,1,642,476,55,776,346,337,2,8,0,1794,619,636,49.3
Atlético Mineiro,32,38.0,69,5,3,527,461,50,704,344,362,7,9,1,1729,618,573,51.9
Avaí,42,38.0,77,10,2,574,544,46,709,514,393,5,7,1,1986,574,749,43.4
Bahia,31,38.0,64,6,4,576,447,48,689,304,424,6,5,0,1860,732,676,52.0
Botafogo (RJ),33,38.0,93,3,2,474,563,38,583,320,326,2,4,2,1518,665,619,51.8
Ceará,33,38.0,85,2,1,529,468,66,791,367,402,4,2,1,1871,628,672,48.3
Chapecoense,36,38.0,76,5,1,586,568,25,748,420,416,2,10,1,1795,658,638,50.8
Corinthians,33,38.0,70,1,0,497,548,39,735,324,357,1,7,1,1667,697,685,50.4
Cruzeiro,35,38.0,83,6,5,543,504,51,801,372,346,4,7,0,1802,640,641,50.0
CSA,40,38.0,92,4,3,563,469,62,539,386,382,4,5,3,1601,596,605,49.6
Flamengo,37,38.0,88,3,2,592,492,38,710,323,424,5,8,1,1820,624,526,54.3
Fluminense,39,38.0,85,9,5,540,530,44,720,371,372,3,4,0,1871,541,526,50.7
Fortaleza,32,38.0,81,6,5,496,523,42,584,323,323,7,7,1,1639,569,567,50.1
Goiás,39,38.0,84,7,3,552,570,53,769,388,397,3,6,1,1766,553,652,45.9
Grêmio,40,38.0,80,2,1,482,477,47,655,370,389,8,9,3,1968,536,540,49.8
Internacional,38,38.0,94,3,0,533,468,71,772,403,428,1,5,1,2023,638,626,50.5
Palmeiras,35,38.0,72,4,1,609,600,66,674,347,395,4,8,1,1708,651,519,55.6
Santos,30,38.0,102,10,6,577,573,73,625,419,417,5,3,1,1929,589,572,50.7
São Paulo,37,38.0,83,6,2,633,550,59,628,314,405,2,4,1,1876,600,594,50.3
Vasco da Gama,39,38.0,101,4,2,618,586,46,694,367,399,9,4,3,1694,597,707,45.8
