team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Ath Paranaense,36,26.2,56.8,38,418,"3,420",38.0,49,32,81,46,3,4,82,1,64.0,61.0,48.2,109.2,741,1772,1.29,0.84,2.13,1.21,2.05,1.68,1.27,2.95,1.60,2.87
Atlético Mineiro,32,28.1,49.8,38,418,"3,420",38.0,44,26,70,39,5,8,69,5,59.5,53.3,41.2,94.5,720,1538,1.16,0.68,1.84,1.03,1.71,1.57,1.08,2.65,1.40,2.49
Avaí,42,26.7,46.3,38,418,"3,420",38.0,17,9,26,13,4,5,77,10,34.8,30.9,23.3,54.1,624,1422,0.45,0.24,0.68,0.34,0.58,0.92,0.61,1.53,0.81,1.42
Bahia,31,27.0,46.9,38,418,"3,420",38.0,43,24,67,34,9,10,64,6,51.7,43.9,35.4,79.3,775,1512,1.13,0.63,1.76,0.89,1.53,1.36,0.93,2.29,1.16,2.09
Botafogo (RJ),33,26.9,49.4,38,418,"3,420",38.0,29,22,51,26,3,3,93,3,37.9,35.6,27.9,63.5,589,1187,0.76,0.58,1.34,0.68,1.26,1.00,0.73,1.73,0.94,1.67
Ceará,33,29.0,45.6,38,418,"3,420",38.0,35,24,59,32,3,6,85,2,48.7,43.9,32.5,76.5,758,1545,0.92,0.63,1.55,0.84,1.47,1.28,0.86,2.14,1.16,2.01
Chapecoense,36,28.8,44.5,38,418,"3,420",38.0,31,22,53,27,4,5,76,5,41.7,37.8,30.0,67.8,673,1175,0.82,0.58,1.39,0.71,1.29,1.10,0.79,1.89,0.99,1.78
Corinthians,33,28.0,51.3,38,418,"3,420",38.0,41,26,67,37,4,4,70,1,42.4,39.2,30.5,69.7,676,1539,1.08,0.68,1.76,0.97,1.66,1.11,0.80,1.92,1.03,1.84
Cruzeiro,35,28.9,52.2,38,418,"3,420",38.0,27,17,44,23,4,5,83,6,46.5,42.7,32.9,75.6,704,1840,0.71,0.45,1.16,0.61,1.05,1.22,0.87,2.09,1.12,1.99
CSA,40,28.7,40.4,38,418,"3,420",38.0,24,15,39,20,4,5,92,4,34.6,30.6,25.0,55.6,527,1070,0.63,0.39,1.03,0.53,0.92,0.91,0.66,1.57,0.81,1.46
Flamengo,37,26.8,58.4,38,418,"3,420",38.0,85,64,149,79,6,8,88,3,81.6,75.5,63.2,138.7,919,1992,2.24,1.68,3.92,2.08,3.76,2.15,1.66,3.81,1.99,3.65
Fluminense,39,25.1,57.1,38,418,"3,420",38.0,35,20,55,31,4,5,85,9,54.6,50.6,40.8,91.4,937,1870,0.92,0.53,1.45,0.82,1.34,1.44,1.07,2.51,1.33,2.40
Fortaleza,32,28.1,45.4,38,418,"3,420",38.0,48,33,81,40,8,9,81,6,50.0,43.0,33.6,76.6,661,1267,1.26,0.87,2.13,1.05,1.92,1.32,0.88,2.20,1.13,2.02
Goiás,39,26.4,42.2,38,418,"3,420",38.0,44,25,69,40,4,4,84,7,47.2,44.0,31.4,75.4,681,1213,1.16,0.66,1.82,1.05,1.71,1.24,0.83,2.07,1.16,1.99
Grêmio,40,27.6,56.6,38,418,"3,420",38.0,63,48,111,56,7,9,80,2,57.0,50.0,38.9,89.0,846,1759,1.66,1.26,2.92,1.47,2.74,1.50,1.02,2.53,1.32,2.34
Internacional,38,27.9,53.5,38,418,"3,420",38.0,43,25,68,42,1,3,94,3,53.0,50.8,37.6,88.4,744,1608,1.13,0.66,1.79,1.11,1.76,1.40,0.99,2.39,1.34,2.33
Palmeiras,35,28.5,49.3,38,418,"3,420",38.0,61,42,103,56,5,6,72,4,59.7,55.2,44.5,99.7,726,1550,1.61,1.11,2.71,1.47,2.58,1.57,1.17,2.74,1.45,2.62
Santos,30,26.5,56.2,38,418,"3,420",38.0,58,39,97,53,5,7,102,10,62.1,56.6,43.4,100.1,880,1695,1.53,1.03,2.55,1.39,2.42,1.63,1.14,2.78,1.49,2.63
São Paulo,37,26.5,53.3,38,418,"3,420",38.0,39,32,71,36,3,4,83,6,44.1,41.1,34.7,75.8,841,1494,1.03,0.84,1.87,0.95,1.79,1.16,0.91,2.08,1.08,1.99
Vasco da Gama,39,26.0,44.6,38,418,"3,420",38.0,37,20,57,29,8,12,101,4,56.7,47.6,35.9,83.5,659,1317,0.97,0.53,1.50,0.76,1.29,1.49,0.94,2.44,1.25,2.20
