team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Ath Paranaense,3,38.0,32,6,0,5,0,46.4,0.26,+14.4,+0.38,182,456,39.9,990,195,32.7,32.6,314,42.0,37.2,518,24,4.6,29,0.76,12.3
Atlético Mineiro,3,38.0,49,7,1,9,1,45.9,0.22,-2.1,-0.06,193,547,35.3,693,176,50.1,37.3,319,62.7,47.7,609,39,6.4,47,1.24,6.4
Avaí,3,38.0,62,7,0,12,1,56.5,0.27,-4.5,-0.12,148,428,34.6,614,116,36.6,36.9,361,56.2,42.0,566,8,1.4,7,0.18,13.3
Bahia,2,38.0,43,4,0,6,0,45.8,0.27,+2.8,+0.07,212,532,39.8,584,163,45.7,38.3,325,81.5,58.2,594,25,4.2,46,1.21,14.8
Botafogo (RJ),2,38.0,45,3,1,5,2,55.7,0.28,+12.7,+0.33,192,445,43.1,745,155,35.7,33.9,397,45.1,37.0,685,32,4.7,6,0.16,7.4
Ceará,3,38.0,41,2,0,9,1,45.5,0.30,+5.5,+0.15,156,479,32.6,596,135,47.8,44.2,335,57.9,45.4,587,18,3.1,17,0.45,4.3
Chapecoense,2,38.0,52,6,2,8,1,61.1,0.28,+10.1,+0.27,279,655,42.6,716,169,51.1,41.1,398,72.6,49.4,630,28,4.4,11,0.29,10.8
Corinthians,3,38.0,34,5,0,6,1,41.6,0.25,+8.6,+0.23,268,581,46.1,777,109,48.1,29.0,359,57.7,43.3,520,21,4.0,15,0.39,
Cruzeiro,2,38.0,46,4,0,3,0,50.1,0.30,+4.1,+0.11,204,484,42.1,681,136,46.1,36.5,303,56.1,41.4,548,26,4.7,10,0.26,9.7
CSA,2,38.0,58,2,3,7,3,57.5,0.25,+2.5,+0.07,216,621,34.8,595,122,55.5,34.8,398,73.1,50.9,666,61,9.2,4,0.11,7.5
Flamengo,3,38.0,37,6,1,3,1,46.1,0.27,+10.1,+0.26,148,331,44.7,610,136,33.3,33.0,237,54.0,42.5,387,16,4.1,30,0.79,15.5
Fluminense,4,38.0,46,4,2,6,0,49.7,0.27,+3.7,+0.10,110,357,30.8,808,196,28.7,29.6,290,43.1,35.1,447,39,8.7,33,0.87,12.6
Fortaleza,2,38.0,49,5,1,7,1,56.9,0.31,+8.9,+0.23,284,576,49.3,1212,101,32.9,31.1,370,47.8,37.1,676,24,3.6,19,0.50,8.6
Goiás,3,38.0,64,3,0,9,1,70.1,0.32,+7.1,+0.19,160,497,32.2,624,101,49.4,51.5,314,60.2,47.8,641,19,3.0,23,0.61,12.0
Grêmio,3,38.0,39,9,3,4,3,40.0,0.20,+4.0,+0.11,115,397,29.0,499,137,45.3,37.9,266,64.3,47.7,480,27,5.6,9,0.24,8.9
Internacional,2,38.0,39,4,1,3,1,43.2,0.23,+5.2,+0.14,142,398,35.7,660,155,37.1,34.6,261,58.6,44.1,497,23,4.6,7,0.18,8.6
Palmeiras,3,38.0,32,7,1,2,1,38.0,0.22,+7.0,+0.18,176,422,41.7,564,147,47.5,29.9,253,60.9,50.4,467,19,4.1,15,0.39,15.7
Santos,2,38.0,33,2,1,3,1,37.1,0.26,+5.1,+0.13,198,448,44.2,1092,172,35.0,30.0,240,27.5,28.7,485,37,7.6,42,1.11,13.6
São Paulo,2,38.0,30,4,2,4,1,33.7,0.21,+4.7,+0.12,153,441,34.7,815,148,35.0,36.5,287,54.4,44.1,513,22,4.3,23,0.61,8.0
Vasco da Gama,3,38.0,45,4,0,4,3,44.9,0.27,+2.9,+0.08,189,523,36.1,580,123,50.9,41.8,315,72.4,51.9,563,25,4.4,16,0.42,10.0
