team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Ath Paranaense,41,24.6,38,"3,420",90,100,38.0,418,83,,113,25,268,1.34,43,48,-5,-0.13
Atlético Mineiro,28,27.3,38,"3,420",90,100,38.0,418,85,,108,19,304,1.82,65,47,+18,+0.47
Avaí,36,26.1,38,"3,420",90,100,38.0,418,83,,112,26,300,1.11,38,60,-22,-0.58
Chapecoense,33,28.2,38,"3,420",90,100,38.0,418,84,,113,22,283,1.24,34,44,-10,-0.26
Corinthians,32,27.2,38,"3,420",90,100,38.0,418,85,,114,20,293,2.13,71,31,+40,+1.05
Coritiba,44,26.5,38,"3,420",90,100,38.0,421,82,,111,26,303,1.16,31,42,-11,-0.29
Cruzeiro,37,27.1,38,"3,420",90,100,38.0,418,82,,114,27,317,1.45,44,35,+9,+0.24
Figueirense,38,25.7,38,"3,420",90,100,38.0,418,83,,114,25,277,1.13,36,50,-14,-0.37
Flamengo,36,26.4,38,"3,420",90,100,38.0,418,84,,105,23,318,1.29,45,53,-8,-0.21
Fluminense,39,26.6,38,"3,420",90,100,38.0,421,82,,110,24,257,1.24,40,49,-9,-0.24
Goiás,35,24.4,38,"3,420",90,100,38.0,418,85,,113,19,233,1.00,39,49,-10,-0.26
Grêmio,34,25.4,38,"3,420",90,100,38.0,418,84,,113,21,286,1.79,52,32,+20,+0.53
Internacional,38,25.7,38,"3,420",90,100,38.0,418,83,,110,24,244,1.58,39,38,+1,+0.03
Joinville,46,25.7,38,"3,420",90,100,38.0,418,82,,111,29,270,0.82,26,48,-22,-0.58
Palmeiras,39,27.6,38,"3,420",90,100,38.0,418,83,,114,27,331,1.39,60,51,+9,+0.24
Ponte Preta,37,26.5,38,"3,420",90,100,38.0,418,84,,112,22,241,1.34,41,40,+1,+0.03
Santos,36,25.5,38,"3,420",90,100,38.0,418,84,,113,20,295,1.53,59,41,+18,+0.47
São Paulo,35,26.4,38,"3,420",90,100,38.0,418,83,,112,24,202,1.63,53,47,+6,+0.16
Sport Recife,28,26.5,38,"3,420",90,100,38.0,418,83,,113,24,244,1.55,53,38,+15,+0.39
Vasco da Gama,41,28.4,38,"3,420",90,100,38.0,419,82,,113,26,264,1.08,28,54,-26,-0.68
