team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Ath Paranaense,41,24.6,51.0,38,418,"3,420",38.0,42,31,73,38,4,4,89,7,1.11,0.82,1.92,1.00,1.82
Atlético Mineiro,28,27.3,56.0,38,418,"3,420",38.0,59,40,99,52,7,7,76,4,1.55,1.05,2.61,1.37,2.42
Avaí,36,26.1,45.3,38,418,"3,420",38.0,37,23,60,35,2,6,120,3,0.97,0.61,1.58,0.92,1.53
Chapecoense,33,28.2,50.0,38,418,"3,420",38.0,34,23,57,30,4,4,86,3,0.89,0.61,1.50,0.79,1.39
Corinthians,32,27.2,52.1,38,418,"3,420",38.0,69,46,115,63,6,6,64,2,1.82,1.21,3.03,1.66,2.87
Coritiba,44,26.5,49.9,38,421,"3,420",38.0,30,25,55,28,2,3,114,5,0.79,0.66,1.45,0.74,1.39
Cruzeiro,37,27.1,52.7,38,418,"3,420",38.0,41,29,70,40,1,3,92,5,1.08,0.76,1.84,1.05,1.82
Figueirense,38,25.7,45.2,38,418,"3,420",38.0,35,20,55,32,3,3,117,5,0.92,0.53,1.45,0.84,1.37
Flamengo,36,26.4,53.5,38,418,"3,420",38.0,45,33,78,45,0,1,88,6,1.18,0.87,2.05,1.18,2.05
Fluminense,39,26.6,48.3,38,421,"3,420",38.0,39,28,67,34,5,6,101,10,1.03,0.74,1.76,0.89,1.63
Goiás,35,24.4,43.6,38,418,"3,420",38.0,37,23,60,30,7,8,95,3,0.97,0.61,1.58,0.79,1.39
Grêmio,34,25.4,52.5,38,418,"3,420",38.0,50,36,86,47,3,5,96,2,1.32,0.95,2.26,1.24,2.18
Internacional,38,25.7,49.8,38,418,"3,420",38.0,39,24,63,36,3,4,104,6,1.03,0.63,1.66,0.95,1.58
Joinville,46,25.7,45.7,38,418,"3,420",38.0,25,21,46,24,1,1,102,8,0.66,0.55,1.21,0.63,1.18
Palmeiras,39,27.6,51.6,38,418,"3,420",38.0,59,46,105,58,1,1,91,5,1.55,1.21,2.76,1.53,2.74
Ponte Preta,37,26.5,48.9,38,418,"3,420",38.0,39,26,65,36,3,4,103,5,1.03,0.68,1.71,0.95,1.63
Santos,36,25.5,49.8,38,418,"3,420",38.0,58,40,98,54,4,8,83,9,1.53,1.05,2.58,1.42,2.47
São Paulo,35,26.4,54.7,38,418,"3,420",38.0,53,37,90,49,4,5,77,5,1.39,0.97,2.37,1.29,2.26
Sport Recife,28,26.5,49.3,38,418,"3,420",38.0,52,42,94,46,6,6,73,2,1.37,1.11,2.47,1.21,2.32
Vasco da Gama,41,28.4,50.6,38,419,"3,420",38.0,28,15,43,22,6,7,114,14,0.74,0.39,1.13,0.58,0.97
