team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
América (MG),46,38.0,558,342,271,233,54,266,691,38.5,425,460,149,311,374,932,865,8
Ath Paranaense,40,38.0,579,341,257,259,63,281,585,48.0,304,421,126,295,358,937,716,6
Atlético Mineiro,31,38.0,755,485,368,297,90,367,780,47.1,413,422,136,286,350,1105,758,4
Bahia,35,38.0,694,433,315,303,76,330,738,44.7,408,431,91,340,397,1091,671,12
Botafogo (RJ),36,38.0,618,376,291,259,68,314,673,46.7,359,385,116,269,412,1030,815,7
Bragantino,35,38.0,645,392,263,281,101,292,688,42.4,396,457,125,332,398,1043,648,11
Corinthians,36,38.0,597,362,315,218,64,294,675,43.6,381,500,177,323,324,921,844,5
Coritiba,47,38.0,682,418,331,281,70,343,731,46.9,388,453,152,301,385,1067,883,12
Cruzeiro,38,38.0,613,390,277,257,79,292,614,47.6,322,378,79,299,336,949,665,7
Cuiabá,30,38.0,645,411,337,237,71,329,770,42.7,441,430,129,301,295,940,787,6
Flamengo,32,38.0,639,411,279,270,90,308,706,43.6,398,373,139,234,299,938,685,11
Fluminense,37,38.0,546,339,239,225,82,280,575,48.7,295,400,145,255,258,804,621,11
Fortaleza,32,38.0,674,421,315,282,77,334,762,43.8,428,431,120,311,352,1026,733,8
Goiás,42,38.0,603,382,308,223,72,298,653,45.6,355,391,144,247,347,950,899,12
Grêmio,44,38.0,615,372,303,249,63,286,711,40.2,425,425,149,276,341,956,803,6
Internacional,35,38.0,601,371,281,241,79,323,681,47.4,358,387,112,275,316,917,779,10
Palmeiras,33,38.0,605,380,275,254,76,288,661,43.6,373,378,94,284,298,903,574,4
Santos,46,38.0,683,434,327,283,73,344,748,46.0,404,447,132,315,370,1053,830,8
São Paulo,38,38.0,543,346,247,234,62,293,640,45.8,347,394,132,262,262,805,636,8
Vasco da Gama,39,38.0,571,361,287,226,58,266,651,40.9,385,406,131,275,316,887,793,7
