team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
América (MG),46,43.1,38.0,19682,2157,6161,8822,4981,765,19676,751,360,47.9,315,41.9,10711,63454,33045,638,475,130,571,305,11379,1368
Ath Paranaense,40,48.5,38.0,21066,2178,6473,9962,4847,765,21062,673,344,51.1,268,39.8,11370,58981,29349,592,447,124,535,313,13032,1350
Atlético Mineiro,31,52.8,38.0,23490,2361,6975,11492,5274,638,23484,723,377,52.1,285,39.4,13532,72571,38672,657,549,143,575,364,15369,1394
Bahia,35,49.7,38.0,21852,2131,6532,10220,5345,750,21848,734,357,48.6,315,42.9,12223,66910,35723,687,533,121,578,302,13731,1491
Botafogo (RJ),36,48.1,38.0,21767,2061,6289,10667,5044,710,21760,792,386,48.7,323,40.8,12233,68659,34516,658,488,147,565,314,13797,1424
Bragantino,35,56.5,38.0,23576,1922,5927,10694,7201,869,23573,877,436,49.7,358,40.8,13196,71316,36929,717,614,164,655,379,14464,1750
Corinthians,36,48.8,38.0,23144,2621,7664,10930,4763,616,23137,707,318,45.0,307,43.4,13239,65887,33922,639,454,116,523,237,15328,1354
Coritiba,47,43.9,38.0,19990,2496,7102,8898,4250,556,19981,808,393,48.6,325,40.2,10779,58669,29638,550,415,109,595,326,11717,1135
Cruzeiro,38,51.5,38.0,22258,2125,6449,10309,5730,683,22255,742,374,50.4,304,41.0,12509,68220,36465,636,488,133,581,289,14213,1631
Cuiabá,30,43.8,38.0,20078,2122,6186,9386,4720,593,20070,637,337,52.9,218,34.2,10667,58569,31232,576,446,113,583,293,12351,1348
Flamengo,32,57.4,38.0,25694,2158,6781,12327,6826,890,25685,803,406,50.6,331,41.2,15846,81718,43143,710,614,154,541,340,18082,1947
Fluminense,37,61.6,38.0,26736,2827,8642,11799,6527,779,26731,930,486,52.3,349,37.5,17261,87132,49407,848,603,168,547,357,19378,1616
Fortaleza,32,46.7,38.0,20507,1818,5629,10142,4984,763,20500,728,374,51.4,283,38.9,11416,66133,35132,695,480,163,472,308,12599,1445
Goiás,42,44.6,38.0,20082,2517,6821,8775,4680,666,20077,668,327,49.0,280,41.9,10459,56079,30365,522,435,106,575,357,12018,1280
Grêmio,44,46.7,38.0,21541,2133,5886,9963,5904,784,21534,730,357,48.9,313,42.9,11490,57522,29440,537,472,139,576,316,13189,1529
Internacional,35,51.6,38.0,23219,2097,6572,11777,5080,697,23215,702,360,51.3,273,38.9,13403,70148,36246,613,507,131,543,294,15433,1376
Palmeiras,33,52.7,38.0,22079,2043,6474,10281,5561,808,22075,750,392,52.3,281,37.5,12838,71836,38614,788,564,175,522,285,14424,1582
Santos,46,44.5,38.0,19765,2018,6243,9012,4774,701,19759,827,390,47.2,350,42.3,10741,63225,32563,708,511,155,531,338,11631,1225
São Paulo,38,59.5,38.0,25487,2378,7547,12441,5727,767,25478,855,458,53.6,330,38.6,15383,78288,39841,685,533,136,505,365,18072,1661
Vasco da Gama,39,48.0,38.0,20827,2239,6703,9603,4782,693,20823,736,373,50.7,308,41.8,11866,65444,34047,619,490,109,515,270,13165,1296
