team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
América (MG),46,29.1,43.1,38,418,"3,420",38.0,42,30,72,38,4,6,89,10,46.9,42.2,34.6,76.8,638,1387,1.11,0.79,1.89,1.00,1.79,1.23,0.91,2.14,1.11,2.02
Ath Paranaense,40,26.1,48.5,38,418,"3,420",38.0,51,38,89,47,4,4,109,4,51.1,48.2,38.9,87.1,592,1362,1.34,1.00,2.34,1.24,2.24,1.34,1.02,2.37,1.27,2.29
Atlético Mineiro,31,28.7,52.8,38,418,"3,420",38.0,51,35,86,45,6,6,113,5,46.6,42.4,33.4,75.9,657,1406,1.34,0.92,2.26,1.18,2.11,1.23,0.88,2.11,1.12,2.00
Bahia,35,26.9,49.7,38,418,"3,420",38.0,48,28,76,44,4,4,99,5,50.6,47.5,31.8,79.3,687,1499,1.26,0.74,2.00,1.16,1.89,1.33,0.84,2.17,1.25,2.09
Botafogo (RJ),36,28.5,48.1,38,418,"3,420",38.0,56,40,96,51,5,7,91,4,50.1,44.6,33.1,77.7,658,1439,1.47,1.05,2.53,1.34,2.39,1.32,0.87,2.19,1.17,2.04
Bragantino,35,24.2,56.5,38,418,"3,420",38.0,48,30,78,45,3,3,108,6,57.8,55.4,39.1,94.5,717,1766,1.26,0.79,2.05,1.18,1.97,1.52,1.03,2.55,1.46,2.49
Corinthians,36,27.4,48.8,38,418,"3,420",38.0,45,28,73,39,6,7,91,3,40.4,35.0,26.9,61.9,639,1379,1.18,0.74,1.92,1.03,1.76,1.06,0.71,1.77,0.92,1.63
Coritiba,47,27.1,43.9,38,418,"3,420",38.0,40,25,65,32,8,9,124,5,39.3,32.2,25.6,57.8,550,1148,1.05,0.66,1.71,0.84,1.50,1.03,0.67,1.71,0.85,1.52
Cruzeiro,38,27.8,51.5,38,418,"3,420",38.0,32,26,58,30,2,4,101,4,47.8,44.6,34.8,79.4,636,1644,0.84,0.68,1.53,0.79,1.47,1.26,0.92,2.17,1.17,2.09
Cuiabá,30,28.1,43.8,38,418,"3,420",38.0,39,24,63,32,7,8,90,3,38.6,32.6,24.7,57.3,576,1360,1.03,0.63,1.66,0.84,1.47,1.02,0.65,1.67,0.86,1.51
Flamengo,32,26.7,57.4,38,418,"3,420",38.0,55,39,94,47,8,9,85,5,49.8,42.7,34.1,76.9,710,1960,1.45,1.03,2.47,1.24,2.26,1.31,0.90,2.21,1.12,2.02
Fluminense,37,29.2,61.6,38,418,"3,420",38.0,51,36,87,48,3,5,122,9,50.3,46.4,36.4,82.7,848,1624,1.34,0.95,2.29,1.26,2.21,1.32,0.96,2.28,1.22,2.18
Fortaleza,32,29.7,46.7,38,418,"3,420",38.0,44,29,73,39,5,7,95,1,51.5,46.0,35.1,81.1,695,1452,1.16,0.76,1.92,1.03,1.79,1.36,0.92,2.28,1.21,2.13
Goiás,42,27.7,44.6,38,418,"3,420",38.0,35,22,57,30,5,5,107,6,36.5,32.7,24.5,57.2,522,1290,0.92,0.58,1.50,0.79,1.37,0.96,0.65,1.61,0.86,1.51
Grêmio,44,27.9,46.7,38,418,"3,420",38.0,61,45,106,56,5,7,102,5,50.0,44.6,36.3,80.9,537,1541,1.61,1.18,2.79,1.47,2.66,1.31,0.95,2.27,1.17,2.13
Internacional,35,28.5,51.6,38,418,"3,420",38.0,45,30,75,42,3,4,111,6,42.1,38.9,29.0,67.9,613,1390,1.18,0.79,1.97,1.11,1.89,1.11,0.76,1.87,1.02,1.79
Palmeiras,33,26.9,52.7,38,418,"3,420",38.0,62,44,106,60,2,4,94,4,57.2,54.1,43.0,97.1,788,1592,1.63,1.16,2.79,1.58,2.74,1.50,1.13,2.64,1.42,2.56
Santos,46,26.5,44.5,38,418,"3,420",38.0,37,26,63,31,6,6,105,8,42.4,37.7,28.7,66.5,708,1240,0.97,0.68,1.66,0.82,1.50,1.12,0.76,1.87,0.99,1.75
São Paulo,38,26.7,59.5,38,418,"3,420",38.0,40,27,67,35,5,9,106,5,49.0,41.6,32.7,74.4,685,1672,1.05,0.71,1.76,0.92,1.63,1.29,0.86,2.15,1.10,1.96
Vasco da Gama,39,26.2,48.0,38,418,"3,420",38.0,41,30,71,37,4,4,101,6,47.7,44.6,32.4,77.1,619,1327,1.08,0.79,1.87,0.97,1.76,1.25,0.85,2.11,1.17,2.03
