team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
América (MG),4,38,38,"3,418",38.0,81,2.13,215,135,64.7,5,9,24,2,5.3,8,5,2,1,28.6
Ath Paranaense,2,38,38,"3,420",38.0,43,1.13,170,124,77.1,14,14,10,10,26.3,7,4,3,0,42.9
Atlético Mineiro,2,38,38,"3,420",38.0,32,0.84,140,109,78.6,19,9,10,15,39.5,2,2,0,0,0.0
Bahia,3,38,38,"3,420",38.0,53,1.39,192,139,75.5,12,8,18,9,23.7,6,6,0,0,0.0
Botafogo (RJ),2,38,38,"3,420",38.0,37,0.97,170,134,78.2,18,10,10,15,39.5,1,0,0,1,
Bragantino,2,38,38,"3,420",38.0,35,0.92,130,95,78.5,17,11,10,17,44.7,8,7,1,0,12.5
Corinthians,2,38,38,"3,420",38.0,48,1.26,187,140,77.5,12,14,12,10,26.3,7,6,0,1,0.0
Coritiba,3,38,38,"3,420",38.0,73,1.92,220,148,70.9,8,6,24,6,15.8,10,9,1,0,10.0
Cruzeiro,2,38,38,"3,420",38.0,32,0.84,140,108,78.6,11,14,13,16,42.1,3,2,0,1,0.0
Cuiabá,2,38,38,"3,420",38.0,39,1.03,151,114,76.8,14,9,15,13,34.2,4,4,0,0,0.0
Flamengo,3,38,38,"3,420",38.0,42,1.11,176,133,79.5,19,9,10,15,39.5,7,6,1,0,14.3
Fluminense,3,38,38,"3,420",38.0,47,1.24,160,114,73.8,16,8,14,12,31.6,6,5,0,1,0.0
Fortaleza,3,38,38,"3,420",38.0,44,1.16,160,116,74.4,15,9,14,10,26.3,7,3,2,2,40.0
Goiás,2,38,38,"3,420",38.0,53,1.39,176,124,72.7,9,11,18,10,26.3,5,5,0,0,0.0
Grêmio,4,38,38,"3,420",38.0,56,1.47,186,131,72.6,21,5,12,8,21.1,5,5,0,0,0.0
Internacional,3,38,38,"3,420",38.0,45,1.18,164,119,76.2,15,10,13,11,28.9,7,6,1,0,14.3
Palmeiras,2,38,38,"3,420",38.0,33,0.87,149,116,80.5,20,10,8,16,42.1,5,4,1,0,20.0
Santos,2,38,38,"3,420",38.0,64,1.68,202,140,70.3,11,10,17,8,21.1,6,4,1,1,20.0
São Paulo,2,38,38,"3,420",38.0,38,1.00,134,97,77.6,14,11,13,15,39.5,9,8,0,1,0.0
Vasco da Gama,1,38,38,"3,420",38.0,51,1.34,182,130,74.2,12,9,17,9,23.7,5,4,1,0,20.0
