team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
América (MG),46,38.0,89,10,3,550,460,62,730,374,342,1,8,3,2051,594,526,53.0
Ath Paranaense,40,38.0,109,4,1,580,505,67,685,358,341,3,7,0,1834,576,605,48.8
Atlético Mineiro,31,38.0,113,5,1,599,475,61,655,350,485,5,2,1,1946,485,561,46.4
Bahia,35,38.0,99,5,3,549,512,54,705,397,433,3,6,1,1940,540,495,52.2
Botafogo (RJ),36,38.0,91,4,1,515,489,41,702,412,376,6,1,1,1858,554,552,50.1
Bragantino,35,38.0,108,6,1,603,470,52,917,398,392,2,8,1,2257,602,646,48.2
Corinthians,36,38.0,91,3,0,475,509,55,650,324,362,5,7,1,1782,525,468,52.9
Coritiba,47,38.0,124,5,3,586,531,62,626,385,418,6,10,2,1901,570,609,48.3
Cruzeiro,38,38.0,101,4,2,570,471,71,812,336,390,3,3,0,1941,529,569,48.2
Cuiabá,30,38.0,90,3,3,473,564,77,828,295,411,7,4,2,1824,613,493,55.4
Flamengo,32,38.0,85,5,0,493,519,51,640,299,411,9,7,0,1902,454,405,52.9
Fluminense,37,38.0,122,9,4,506,560,75,707,258,339,4,6,1,1802,427,450,48.7
Fortaleza,32,38.0,95,1,1,519,533,84,769,352,421,5,7,2,1876,567,532,51.6
Goiás,42,38.0,107,6,3,637,577,86,701,347,382,5,5,1,1774,633,633,50.0
Grêmio,44,38.0,102,5,3,480,537,59,577,341,372,4,5,1,2019,500,537,48.2
Internacional,35,38.0,111,6,2,518,497,60,607,316,371,4,7,1,1816,449,562,44.4
Palmeiras,33,38.0,94,4,2,583,585,100,917,298,380,3,5,1,1870,491,490,50.1
Santos,46,38.0,105,8,3,573,549,67,726,370,434,5,6,3,1907,585,520,52.9
São Paulo,38,38.0,106,5,3,530,532,77,664,262,346,6,9,1,1859,490,486,50.2
Vasco da Gama,39,38.0,101,6,3,557,510,67,889,316,361,3,4,0,1853,531,568,48.3
