team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
América (MG),46,38.0,42,510,155,30.4,13.42,4.08,0.07,0.25,19.0,17,4,6,46.9,42.2,0.09,-4.9,-4.2
Ath Paranaense,40,38.0,51,551,168,30.5,14.50,4.42,0.09,0.28,19.3,23,4,4,51.1,48.2,0.09,-0.1,-1.2
Atlético Mineiro,31,38.0,51,480,165,34.4,12.63,4.34,0.09,0.27,20.1,43,6,6,46.6,42.4,0.09,+4.4,+2.6
Bahia,35,38.0,48,535,164,30.7,14.08,4.32,0.08,0.27,18.5,16,4,4,50.6,47.5,0.09,-2.6,-3.5
Botafogo (RJ),36,38.0,56,516,168,32.6,13.58,4.42,0.10,0.30,19.2,21,5,7,50.1,44.6,0.09,+5.9,+6.4
Bragantino,35,38.0,48,635,208,32.8,16.71,5.47,0.07,0.22,19.3,27,3,3,57.8,55.4,0.09,-9.8,-10.4
Corinthians,36,38.0,45,455,156,34.3,11.97,4.11,0.09,0.25,19.3,18,6,7,40.4,35.0,0.08,+4.6,+4.0
Coritiba,47,38.0,40,420,140,33.3,11.05,3.68,0.08,0.23,20.3,30,8,9,39.3,32.2,0.08,+0.7,-0.2
Cruzeiro,38,38.0,32,525,162,30.9,13.82,4.26,0.06,0.19,19.3,28,2,4,47.8,44.6,0.09,-15.8,-14.6
Cuiabá,30,38.0,39,440,131,29.8,11.58,3.45,0.07,0.24,20.1,16,7,8,38.6,32.6,0.08,+0.4,-0.6
Flamengo,32,38.0,55,490,168,34.3,12.89,4.42,0.10,0.28,18.3,15,8,9,49.8,42.7,0.09,+5.2,+4.3
Fluminense,37,38.0,51,545,202,37.1,14.34,5.32,0.09,0.24,19.5,18,3,5,50.3,46.4,0.09,+0.7,+1.6
Fortaleza,32,38.0,44,540,181,33.5,14.21,4.76,0.07,0.22,19.1,30,5,7,51.5,46.0,0.09,-7.5,-7.0
Goiás,42,38.0,35,492,133,27.0,12.95,3.50,0.06,0.23,19.0,20,5,5,36.5,32.7,0.07,-1.5,-2.7
Grêmio,44,38.0,61,500,186,37.2,13.16,4.89,0.11,0.30,18.1,18,5,7,50.0,44.6,0.09,+11.0,+11.4
Internacional,35,38.0,45,459,146,31.8,12.08,3.84,0.09,0.29,19.6,23,3,4,42.1,38.9,0.09,+2.9,+3.1
Palmeiras,33,38.0,62,609,206,33.8,16.03,5.42,0.10,0.29,18.6,26,2,4,57.2,54.1,0.09,+4.8,+5.9
Santos,46,38.0,37,463,146,31.5,12.18,3.84,0.07,0.21,18.1,29,6,6,42.4,37.7,0.08,-5.4,-6.7
São Paulo,38,38.0,40,513,162,31.6,13.50,4.26,0.07,0.22,19.5,20,5,9,49.0,41.6,0.08,-9.0,-6.6
Vasco da Gama,39,38.0,41,476,148,31.1,12.53,3.89,0.08,0.25,17.0,30,4,4,47.7,44.6,0.10,-6.7,-7.6
