team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90
Ath Paranaense,41,25.4,38,"3,420",90,100,38.0,418,81,235,180,20,265,1.39,38,36,+2,+0.05,45.6,47.1,-1.5,-0.04
Atl Goianiense,35,24.9,38,"3,420",90,100,38.0,418,82,239,176,19,193,1.32,40,45,-5,-0.13,44.3,54.5,-10.2,-0.27
Atlético Mineiro,34,25.8,38,"3,420",90,100,38.0,418,82,257,159,20,291,1.79,64,45,+19,+0.50,68.5,45.7,+22.8,+0.60
Bahia,39,27.3,38,"3,420",90,100,38.0,418,80,238,180,22,258,1.16,48,59,-11,-0.29,55.9,57.7,-1.9,-0.05
Botafogo (RJ),45,24.9,38,"3,420",90,100,38.0,418,81,248,167,23,264,0.71,32,62,-30,-0.79,51.3,64.8,-13.5,-0.36
Bragantino,35,25.3,38,"3,420",90,100,38.0,418,82,246,174,17,247,1.39,50,40,+10,+0.26,53.3,43.3,+9.9,+0.26
Ceará,34,27.9,38,"3,420",90,100,38.0,418,82,238,177,19,271,1.37,54,51,+3,+0.08,51.8,52.6,-0.7,-0.02
Corinthians,36,27.6,38,"3,420",90,100,38.0,418,80,226,184,22,262,1.34,45,45,0,0.00,44.1,54.4,-10.2,-0.27
Coritiba,47,26.9,38,"3,420",90,100,38.0,418,80,238,173,23,252,0.82,31,54,-23,-0.61,37.9,61.4,-23.5,-0.62
Flamengo,38,26.6,38,"3,420",90,100,38.0,418,84,261,154,16,288,1.87,68,48,+20,+0.53,78.4,35.2,+43.2,+1.14
Fluminense,37,26.8,38,"3,420",90,100,38.0,418,82,249,167,21,273,1.68,55,42,+13,+0.34,41.3,44.9,-3.6,-0.09
Fortaleza,31,28.9,38,"3,420",90,100,38.0,418,81,230,181,19,265,1.08,34,44,-10,-0.26,43.3,47.8,-4.6,-0.12
Goiás,49,26.0,38,"3,420",90,100,38.0,418,80,251,164,24,227,0.97,41,63,-22,-0.58,39.5,61.1,-21.6,-0.57
Grêmio,37,27.8,38,"3,420",90,100,38.0,418,82,246,166,19,271,1.55,53,40,+13,+0.34,54.3,41.8,+12.5,+0.33
Internacional,39,27.1,38,"3,420",90,100,38.0,418,81,243,169,20,277,1.84,61,35,+26,+0.68,55.3,36.2,+19.1,+0.50
Palmeiras,36,26.4,38,"3,420",90,100,38.0,418,80,240,174,24,245,1.53,51,37,+14,+0.37,52.6,39.1,+13.5,+0.36
Santos,40,24.6,38,"3,420",90,100,38.0,418,81,245,172,21,261,1.42,52,51,+1,+0.03,50.9,56.7,-5.7,-0.15
São Paulo,28,26.5,38,"3,420",90,100,38.0,418,82,254,162,20,282,1.74,59,41,+18,+0.47,54.3,39.5,+14.8,+0.39
Sport Recife,38,27.0,38,"3,420",90,100,38.0,418,81,237,179,21,256,1.11,31,50,-19,-0.50,34.7,58.0,-23.3,-0.61
Vasco da Gama,34,26.2,38,"3,420",90,100,38.0,418,80,238,176,22,274,1.08,37,56,-19,-0.50,41.1,56.5,-15.4,-0.41
