team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Ath Paranaense,41,38.0,761,20.03,560,71,42,40,39,9,68,1.79,49,3,10,5,1,0
Atl Goianiense,35,38.0,801,21.08,572,75,51,36,54,13,72,1.89,47,6,7,7,3,2
Atlético Mineiro,34,38.0,1103,29.03,830,68,58,74,54,19,106,2.79,77,4,6,8,9,2
Bahia,39,38.0,903,23.76,636,79,63,59,55,11,88,2.32,59,5,9,9,6,0
Botafogo (RJ),45,38.0,903,23.76,654,87,37,56,59,10,49,1.29,31,1,3,9,3,2
Bragantino,35,38.0,1001,26.34,758,75,49,52,52,15,77,2.03,54,5,5,10,3,0
Ceará,34,38.0,780,20.53,530,76,62,48,43,21,89,2.34,58,7,9,6,8,1
Corinthians,36,38.0,819,21.55,607,68,41,47,41,15,75,1.97,49,7,7,8,4,0
Coritiba,47,38.0,696,18.32,530,53,34,30,37,12,54,1.42,42,2,3,2,5,0
Flamengo,38,38.0,1018,26.79,750,81,63,55,57,12,115,3.03,78,9,11,9,8,0
Fluminense,37,38.0,767,20.18,513,89,43,54,55,13,91,2.39,57,9,5,10,9,1
Fortaleza,31,38.0,734,19.32,513,74,56,31,51,9,57,1.50,39,3,3,6,6,0
Goiás,49,38.0,732,19.26,488,84,36,49,63,12,61,1.61,37,4,3,10,6,1
Grêmio,37,38.0,951,25.03,683,80,63,34,79,12,93,2.45,66,7,4,4,11,1
Internacional,39,38.0,768,20.21,547,73,42,53,42,11,90,2.37,56,10,5,11,7,1
Palmeiras,36,38.0,904,23.79,660,74,48,69,39,14,77,2.03,53,3,3,15,2,1
Santos,40,38.0,752,19.79,509,68,55,41,72,7,86,2.26,57,6,4,8,11,0
São Paulo,28,38.0,987,25.97,757,75,33,48,63,11,95,2.50,66,9,5,7,7,1
Sport Recife,38,38.0,655,17.24,446,65,32,45,60,7,55,1.45,38,2,2,7,6,0
Vasco da Gama,34,38.0,671,17.66,472,62,43,37,42,15,60,1.58,34,5,2,11,5,3
