team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ath Paranaense,3,38,38,"3,420",38.0,36,0.95,151,115,78.1,15,8,15,14,36.8,6,3,3,0,50.0
Atl Goianiense,2,38,38,"3,420",38.0,45,1.18,154,108,74.7,12,14,12,9,23.7,8,6,2,0,25.0
Atlético Mineiro,3,38,38,"3,417",38.0,45,1.19,139,94,69.1,20,8,10,14,36.8,3,2,0,1,0.0
Bahia,3,38,38,"3,420",38.0,59,1.55,168,108,67.9,12,8,18,7,18.4,6,5,1,0,16.7
Botafogo (RJ),4,38,38,"3,420",38.0,62,1.63,181,117,70.7,5,12,21,5,13.2,14,9,3,2,25.0
Bragantino,2,38,38,"3,420",38.0,40,1.05,135,95,74.8,13,14,11,11,28.9,8,6,1,1,14.3
Ceará,2,38,38,"3,420",38.0,51,1.34,176,125,76.7,14,10,14,11,28.9,11,10,0,1,0.0
Corinthians,2,38,38,"3,419",38.0,45,1.18,174,130,76.4,13,12,13,14,36.8,5,4,0,1,0.0
Coritiba,2,38,38,"3,419",38.0,54,1.42,177,123,73.4,7,10,21,9,23.7,10,7,3,0,30.0
Flamengo,4,38,38,"3,418",38.0,48,1.26,146,100,69.2,21,8,9,9,23.7,3,3,0,0,0.0
Fluminense,2,38,38,"3,420",38.0,42,1.11,132,91,72.0,18,10,10,11,28.9,5,5,0,0,0.0
Fortaleza,2,38,38,"3,420",38.0,44,1.16,148,101,73.0,10,11,17,13,34.2,9,4,4,1,50.0
Goiás,2,38,38,"3,420",38.0,63,1.66,203,141,71.4,9,10,19,10,26.3,6,5,1,0,16.7
Grêmio,3,38,38,"3,420",38.0,40,1.05,135,95,77.8,14,17,7,11,28.9,10,10,0,0,0.0
Internacional,3,38,38,"3,420",38.0,35,0.92,105,71,70.5,20,10,8,15,39.5,5,4,0,1,0.0
Palmeiras,3,38,38,"3,420",38.0,37,0.97,141,106,77.3,15,13,10,12,31.6,5,5,0,0,0.0
Santos,3,38,38,"3,420",38.0,51,1.34,162,111,74.7,14,12,12,7,18.4,10,10,0,0,0.0
São Paulo,1,38,38,"3,420",38.0,41,1.08,141,97,70.9,18,12,8,10,26.3,5,0,3,2,100.0
Sport Recife,2,38,38,"3,420",38.0,50,1.32,193,147,76.7,12,6,20,10,26.3,5,5,0,0,0.0
Vasco da Gama,2,38,38,"3,420",38.0,56,1.47,187,129,74.3,10,11,17,11,28.9,11,8,2,1,20.0
