team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Ath Paranaense,3,38.0,36,3,0,7,2,45.7,0.27,+11.7,+0.31,223,526,42.4,1192,189,34.2,33.2,326,36.2,35.9,593,10,1.7,34,0.89,17.1
Atl Goianiense,2,38.0,45,6,0,2,1,46.7,0.26,+2.7,+0.07,216,549,39.3,1042,135,37.3,36.2,343,46.6,40.3,662,24,3.6,23,0.61,12.3
Atlético Mineiro,3,38.0,45,2,0,4,0,47.4,0.33,+2.4,+0.06,136,337,40.4,1083,171,27.7,30.5,225,16.4,21.9,410,11,2.7,61,1.61,9.5
Bahia,3,38.0,59,5,2,9,0,55.8,0.30,-3.2,-0.08,88,290,30.3,607,185,27.7,31.6,296,41.2,36.6,628,14,2.2,25,0.66,12.2
Botafogo (RJ),4,38.0,62,9,1,2,1,60.6,0.28,-0.4,-0.01,186,415,44.8,633,133,41.5,37.0,329,46.2,38.0,612,21,3.4,13,0.34,15.7
Bragantino,2,38.0,40,6,0,6,1,42.0,0.27,+3.0,+0.08,149,465,32.0,945,217,33.8,35.7,278,52.5,43.8,518,16,3.1,61,1.61,13.7
Ceará,2,38.0,51,10,1,5,0,54.0,0.25,+3.0,+0.08,176,490,35.9,630,108,49.7,39.4,300,59.0,46.1,644,9,1.4,11,0.29,10.6
Corinthians,2,38.0,45,4,2,5,1,47.6,0.26,+3.6,+0.10,220,546,40.3,839,128,45.1,36.6,345,48.7,40.6,579,17,2.9,16,0.42,12.7
Coritiba,2,38.0,54,7,0,5,3,59.4,0.28,+8.4,+0.22,170,458,37.1,876,133,36.2,27.0,351,40.2,35.3,685,15,2.2,8,0.21,10.3
Flamengo,4,38.0,48,3,2,7,2,38.4,0.25,-7.6,-0.20,101,279,36.2,905,175,23.5,26.9,213,31.0,30.8,432,16,3.7,36,0.95,16.1
Fluminense,2,38.0,42,5,0,2,1,45.2,0.31,+4.2,+0.11,129,420,30.7,617,129,44.4,34.6,285,51.2,39.0,540,19,3.5,17,0.45,12.2
Fortaleza,2,38.0,44,4,2,4,1,46.6,0.27,+3.6,+0.09,302,623,48.5,1169,87,41.7,34.0,308,43.8,32.6,569,12,2.1,17,0.45,3.5
Goiás,2,38.0,63,5,0,10,2,62.7,0.28,+1.7,+0.04,271,669,40.5,828,122,53.5,46.3,382,59.2,48.1,732,20,2.7,28,0.74,14.5
Grêmio,3,38.0,40,10,0,5,0,42.8,0.25,+2.8,+0.07,151,393,38.4,550,128,43.5,38.3,261,59.0,45.0,441,8,1.8,17,0.45,15.2
Internacional,3,38.0,35,4,1,5,1,31.4,0.27,-2.6,-0.07,155,543,28.5,753,98,46.2,40.9,275,70.9,50.5,488,13,2.7,25,0.66,11.0
Palmeiras,3,38.0,37,5,2,4,2,40.1,0.26,+5.1,+0.13,165,472,35.0,928,179,38.1,32.3,280,42.1,38.0,500,14,2.8,28,0.74,13.5
Santos,3,38.0,51,10,0,14,0,51.6,0.27,+0.6,+0.02,96,331,29.0,887,144,27.2,31.4,306,29.4,28.1,530,10,1.9,19,0.50,14.3
São Paulo,1,38.0,41,0,2,6,0,39.3,0.26,-1.7,-0.04,136,410,33.2,1129,172,27.9,31.9,262,36.3,34.9,421,23,5.5,51,1.34,17.9
Sport Recife,2,38.0,50,5,1,8,4,53.8,0.26,+7.8,+0.20,147,536,27.4,646,131,52.9,42.8,363,53.4,41.8,741,7,0.9,26,0.68,12.6
Vasco da Gama,2,38.0,56,8,3,6,0,54.5,0.25,-1.5,-0.04,132,422,31.3,670,170,42.8,36.8,293,46.1,38.1,620,19,3.1,10,0.26,10.9
