team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ath Paranaense,2,38,38,"3,420",38.0,0,0.00,0,0,,15,9,14,12,31.6,6,6,0,0,0.0
Atlético Mineiro,3,38,38,"3,418",38.0,0,0.00,0,0,,17,11,10,14,36.8,1,1,0,0,0.0
Bahia,2,38,38,"3,417",38.0,0,0.00,0,0,,9,10,19,10,26.3,3,3,0,0,0.0
Botafogo (RJ),4,38,38,"3,420",38.0,0,0.00,0,0,,9,7,22,9,23.7,3,2,0,1,0.0
Chapecoense,2,38,38,"3,420",38.0,0,0.00,0,0,,11,10,17,12,31.6,4,3,1,0,25.0
Corinthians,2,38,38,"3,420",38.0,0,0.00,0,0,,19,12,7,15,39.5,6,5,1,0,16.7
Coritiba,1,38,38,"3,420",38.0,0,0.00,0,0,,12,11,15,13,34.2,5,2,3,0,60.0
Criciúma,4,38,38,"3,420",38.0,0,0.00,0,0,,7,11,20,10,26.3,6,5,1,0,16.7
Cruzeiro,3,38,38,"3,420",38.0,0,0.00,0,0,,24,8,6,11,28.9,4,3,0,1,0.0
Figueirense,2,38,38,"3,420",38.0,0,0.00,0,0,,13,8,17,11,28.9,8,5,1,2,16.7
Flamengo,4,38,38,"3,417",38.0,0,0.00,0,0,,14,10,14,11,28.9,7,5,2,0,28.6
Fluminense,3,38,38,"3,420",38.0,0,0.00,0,0,,17,10,11,14,36.8,4,3,1,0,25.0
Goiás,2,38,38,"3,420",38.0,0,0.00,0,0,,13,8,17,16,42.1,3,2,1,0,33.3
Grêmio,3,38,38,"3,420",38.0,0,0.00,0,0,,17,10,11,20,52.6,1,1,0,0,0.0
Internacional,3,38,38,"3,415",38.0,0,0.00,0,0,,21,6,11,15,39.5,4,3,0,1,0.0
Palmeiras,4,38,38,"3,420",38.0,0,0.00,0,0,,11,7,20,9,23.7,2,2,0,0,0.0
Santos,2,38,38,"3,420",38.0,0,0.00,0,0,,15,8,15,15,39.5,2,1,0,1,0.0
São Paulo,2,38,38,"3,420",38.0,0,0.00,0,0,,20,10,8,13,34.2,4,4,0,0,0.0
Sport Recife,1,38,38,"3,420",38.0,0,0.00,0,0,,14,10,14,14,36.8,3,2,1,0,33.3
Vitória,2,38,38,"3,420",38.0,0,0.00,0,0,,10,8,20,5,13.2,2,2,0,0,0.0
