team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Ath Paranaense,36,23.6,38,"3,420",90,100,38.0,418,85,,108,20,248,1.42,43,42,+1,+0.03
Atlético Mineiro,39,26.8,38,"3,420",90,100,38.0,418,84,,99,25,244,1.63,51,38,+13,+0.34
Bahia,38,26.2,38,"3,420",90,100,38.0,418,84,,113,23,254,0.97,31,43,-12,-0.32
Botafogo (RJ),40,27.0,38,"3,420",90,100,38.0,418,83,,114,24,206,0.89,31,48,-17,-0.45
Chapecoense,40,27.0,38,"3,420",90,100,38.0,420,84,,111,20,251,1.13,39,44,-5,-0.13
Corinthians,28,26.2,38,"3,420",90,100,38.0,418,85,,114,18,299,1.82,49,31,+18,+0.47
Coritiba,34,26.5,38,"3,420",90,100,38.0,418,83,,112,24,273,1.24,42,45,-3,-0.08
Criciúma,52,26.7,38,"3,420",90,100,38.0,418,83,,113,26,244,0.84,28,56,-28,-0.74
Cruzeiro,37,26.4,38,"3,420",90,100,38.0,418,84,,114,24,251,2.11,67,38,+29,+0.76
Figueirense,41,25.2,38,"3,420",90,100,38.0,418,82,,114,27,253,1.24,37,47,-10,-0.26
Flamengo,36,27.0,38,"3,420",90,100,38.0,418,82,,111,30,303,1.37,46,47,-1,-0.03
Fluminense,32,27.3,38,"3,420",90,100,38.0,418,84,,100,23,249,1.61,61,42,+19,+0.50
Goiás,34,24.8,38,"3,420",90,100,38.0,418,84,,113,23,223,1.24,38,40,-2,-0.05
Grêmio,38,25.6,38,"3,420",90,100,38.0,418,85,,112,19,233,1.61,36,24,+12,+0.32
Internacional,38,27.8,38,"3,420",90,100,38.0,418,84,,113,22,254,1.82,53,41,+12,+0.32
Palmeiras,45,25.6,38,"3,420",90,100,38.0,418,83,,111,24,284,1.05,34,59,-25,-0.66
Santos,39,25.4,38,"3,420",90,100,38.0,418,84,,113,21,241,1.39,42,35,+7,+0.18
São Paulo,28,27.2,38,"3,420",90,100,38.0,418,86,,100,18,264,1.84,59,40,+19,+0.50
Sport Recife,34,27.0,38,"3,420",90,100,38.0,418,83,,113,25,232,1.37,36,46,-10,-0.26
Vitória,42,26.6,38,"3,420",90,100,38.0,418,83,,112,26,285,1.00,37,54,-17,-0.45
