team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Ath Paranaense,36,38.0,72,1,0,,,,,,,,,2
Atlético Mineiro,39,38.0,83,2,0,,,,,,,,,1
Bahia,38,38.0,101,7,6,,,,,,,,,1
Botafogo (RJ),40,38.0,90,10,5,,,,,,,,,1
Chapecoense,40,38.0,68,2,1,,,,,,,,,1
Corinthians,28,38.0,73,3,1,,,,,,,,,2
Coritiba,34,38.0,97,2,1,,,,,,,,,1
Criciúma,52,38.0,118,5,2,,,,,,,,,0
Cruzeiro,37,38.0,70,2,0,,,,,,,,,2
Figueirense,41,38.0,98,10,4,,,,,,,,,1
Flamengo,36,38.0,68,4,1,,,,,,,,,0
Fluminense,32,38.0,79,5,3,,,,,,,,,0
Goiás,34,38.0,80,2,0,,,,,,,,,3
Grêmio,38,38.0,98,3,2,,,,,,,,,0
Internacional,38,38.0,97,6,3,,,,,,,,,0
Palmeiras,45,38.0,94,7,2,,,,,,,,,1
Santos,39,38.0,75,4,3,,,,,,,,,1
São Paulo,28,38.0,92,5,1,,,,,,,,,1
Sport Recife,34,38.0,75,2,1,,,,,,,,,3
Vitória,42,38.0,82,2,1,,,,,,,,,4
